name,degrees,education,occupations,time_in_space,interests,nationality,age
Anatoly Berezovoy,,"None (Air Force Academy, None)","Pilot; Colonel, Soviet Air Force; Cosmonaut; Deputy President of Russian Space Federation",211 days 09 hours 04 minutes,,Soviet Russian,
Anatoly Filipchenko,,,"Pilot; Major General , Soviet Air Force; Cosmonaut",10d 21h 03m,,Soviet,94
Anatoly Ivanishin,"Economics, Statistics and Information Theory","Gold medal (Chernigov Higher Military Aviation School, 1991); Economics, Statistics and Information Theory (Moscow State University, 2003)","Pilot; Cosmonaut; Colonel, Russian Air Force (reserve)","476 days, 4 hours, 41 minutes",,Russia,56
Anatoly Levchenko,,,Test Pilot; Cosmonaut,7d 21h 58m,,Soviet,
Anatoly Solovyev,,"None (State University of Latvia, 1967); Graduated (Chernigov Higher Military Aviation School, 1972)","Test pilot; Colonel, Russian Air Force; Cosmonaut","651 days, 2 hours",,Russian,77
Anderson Clayton,Bachelor of Arts degree,"BA in Journalism and Political Science (Appalachian State University, 2019)",Political activist; Chair of the North Carolina Democratic Party; Broadband analyst,,,United States,27
Andreas Enevold Mogensen,MEng in Aeronautical Engineering; Doctor of Philosophy (PhD),"None (Rygaards International School, 1992); International Baccalaureate (Copenhagen International School, 1995); MEng in Aeronautical Engineering (Imperial College London, 1999); PhD in Aerospace Engineering (University of Texas at Austin, 2007); None (Instituto Superior Técnico - University of Lisbon, None)",Aerospace engineer; ESA astronaut; Test engineer; Member of the European Astronaut Corps,"208 days, 22 hours, 34 minutes",rugby; mountaineering; diving,Denmark,48
Andrew J. Feustel,Associate degree; Bachelor of Science degree; Master of Science degree; Doctor of Philosophy (PhD),"Associate of Science (Oakland Community College, 1985); Bachelor of Science in Solid Earth Sciences (Purdue University, 1989); Master of Science in Geophysics (Purdue University, 1991); PhD in Geological Sciences (Queen's University, 1995)",NASA Astronaut; Geophysicist; Deputy Chief of the NASA Astronaut Office; Acting Chief Astronaut; Advisor at Vast,"225 days, 9 hours, 16 minutes",automobile restoration; skiing; guitar; member of the astronaut band Max Q,United States,60
Andrew M. Allen,Bachelor of Science degree; MBA,"B.S. in Mechanical Engineering (Villanova University, 1977); MBA (University of Florida, 2004)","Marine Aviator; Lieutenant Colonel, USMC; Test Pilot; Astronaut; CEO of Aerodyne Industries",37d 16h 12m,,American,70
Andrey Borisenko,Flight and Control Dynamics,"Flight and Control Dynamics (Leningrad Military Mechanical Institute, 1987)",Cosmonaut; Test-cosmonaut; Flight Engineer; Commander of the International Space Station,337 days 8 hours 57 minutes,,Russia,61
Andriyan Nikolayev,,,"Pilot; Major General, Soviet Air Force (1954–1982); Cosmonaut",21d 15h 20m,skiing,Soviet,
André Kuipers,Medical Degree,"Medical Degree (University of Amsterdam, 1987)",Physician; ESA Astronaut,203d 15h 50m,,Dutch,66
Andy Thomas,"BEng, University of Adelaide, 1973; Doctor of Philosophy (PhD)","BEng with First Class Honours in Mechanical Engineering (University of Adelaide, 1973); PhD in Mechanical Engineering (University of Adelaide, 1978)",Aerospace Engineer; Former NASA Astronaut,177d 9h 14m,,Australian American,73
Anna L. Fisher,,"None (Paris, None)",American Red Cross worker; Advisor to Faisal I of Iraq; Captain in the Syrian army; Ministry of Education in Iraq,,,American,61
Anne McClain,Bachelor's degree; Master's degree,"Bachelor's degree in mechanical engineering (United States Military Academy, 2002); Master's degree in aerospace engineering (University of Bath, 2004); Master's degree in international relations (University of Bristol, 2005)","Colonel, US Army; Engineer; NASA Astronaut; Flight Engineer; Pilot","351 days, 7 hours and 45 minutes",rugby,U.S.,46
Anthony W. England,Bachelor of Science degree; Master of Science degree; Doctor of Philosophy (PhD),"Bachelor of Science (Massachusetts Institute of Technology, 1965); Master of Science (Massachusetts Institute of Technology, 1965); Doctor of Philosophy (Massachusetts Institute of Technology, 1970)",NASA astronaut; Program Scientist for Space Station Freedom; Professor of Electrical Engineering and Computer Science; Dean of the College of Engineering and Computer Science,7d 22h 45min,sailing; amateur radio,American,83
Anton Shkaplerov,Pilot-Engineer; Qualification - N. E. Zukovskiy Air Force Engineering School,"Pilot-Engineer (Kachinsk Air Force Pilot School, 1994); None (N. E. Zukovskiy Air Force Engineering School, 1997)","Colonel, Russian Air Force; Cosmonaut; Senior Pilot-Instructor, Russian Air Force; Instructor of General Parachute Training","709 days, 8 hours, 4 minutes",sports; travel; fishing; golf,Russia,53
Arnaldo Tamayo Méndez,,"Aviation technician (Technical Institute 'Rebel Army', 1960); Combat pilot training (Yeysk Higher Air Force School, 1962); None (Maximo Gomez Basic College of the Revolutionary Forces, 1971)",Pilot; Military officer; Legislator; Cosmonaut,"7 days, 20 hours, 43 minutes",,Cuba,83
Barbara Morgan,Bachelor of Arts degree; Teaching Credential,"B.A. in Human Biology (Stanford University, 1973); Teaching Credential (Notre Dame de Namur University, 1974)",Teacher; NASA Astronaut; Mission Specialist; Distinguished Educator in Residence at Boise State University,12d 17h 53m,jazz; literature; hiking; swimming; cross-country skiing,American,73
Barry Wilmore,Bachelor of Science degree; Master of Science degree,"Bachelor of Science (Tennessee Technological University, None); Master of Science (Tennessee Technological University, None); Master of Science in Aviation Systems (University of Tennessee, None)","NASA astronaut; United States Navy test pilot; Captain, USN","464 days, 8 hours, 2 minutes",Christian; attending remote Sunday services,American,62
Bernard A. Harris Jr.,Bachelor of Science degree; MD degree; Master's degree; MBA,"B.S degree in biology (University of Houston, 1978); MD degree (Texas Tech University Health Sciences Center School of Medicine, 1982); Master's degree in biomedical science (The University of Texas Medical Branch, 1996); MBA (University of Houston, 1999)","NASA astronaut; Clinical scientist and flight surgeon; Vice President of SPACEHAB, Inc.; Vice President of Business Development for Space Media, Inc.; CEO of the National Math and Science Initiative; President and CEO of Vesalius Ventures, Inc.",18d 6h 8m,,United States,69
Bill Nelson,Bachelor of Arts degree; Juris Doctor,"Bachelor of Arts (Yale University, 1965); Juris Doctor (University of Virginia, 1968)",American politician; Attorney; Astronaut,"6 days, 2 hours, 3 minutes",,American,82
Bjarni Tryggvason,Engineering Physics,"B.A.Sc. in Engineering Physics (University of British Columbia, 1972); None (University of Western Ontario, None)",Engineer; NRC/CSA Astronaut; Meteorologist; Research Associate; Lecturer; Flight Instructor; Test Pilot,"11 days, 20 hours, 28 minutes",,Icelandic Canadian,
Bob Behnken,Bachelor of Science degree; Master of Science degree; Doctor of Philosophy (PhD),"Bachelor of Science in Mechanical Engineering (Washington University in St. Louis, 1992); Bachelor of Science in Physics (Washington University in St. Louis, 1992); MS in Mechanical Engineering (California Institute of Technology, 1993); PhD in Mechanical Engineering (California Institute of Technology, 1997)","Engineer; Former NASA Astronaut; Former Chief of the Astronaut Office; Colonel, USAF",93d 11h 42m,,United States,55
Bonnie J. Dunbar,Bachelor of Science degree; Master of Science degree; Doctor of Philosophy (PhD),"Bachelor of Science in Ceramic Engineering (University of Washington, 1971); Master of Science in Ceramic Engineering (University of Washington, 1975); PhD in Mechanical/Biomedical Engineering (University of Houston, 1983)",Engineer; NASA Astronaut; Flight Controller/Payload Officer; Senior Research Engineer at Rockwell International; President and CEO of the Museum of Flight; John and Bea Slattery Professor of Aerospace Engineering at Texas A&M University; Director of the Institute for Engineering Education and Innovation,50d 8h 24m,reading science fiction novels; following the Mercury Seven exploits,United States,76
Boris Borisovich Yegorov,Medical degree; Doctorate in medicine,"Medical degree (Moscow Medical Institute, 1961); Medical degree (First Moscow State Medical University, 1961)",Doctor; Physician; Cosmonaut; Researcher at the Institute of Biomedical Problems; Professor at the Moscow Medical Institute,1d 00h 17m,,Soviet,
Boris Morukov,M.D.; Doctor of Philosophy (PhD),"M.D. (2nd Moscow Medical Institute, 1973); Ph.D. (Institute for Biomedical Problems, 1979)",Physician; Cosmonaut,"11 days, 19 hours, and 10 minutes",,Russian,
Boris Volynov,,"Diploma of a pilot-engineer-cosmonaut (Zhukovsky Air Force Engineering Academy, 1968); PhD (Zhukovsky Air Force Engineering Academy, 1980)","Electrical Engineer; Colonel, Soviet Air Force",52d 07h 17m,,Soviet,90
Brent W. Jett Jr.,Bachelor of Science degree; Master of Science degree,"Bachelor of Science in Aerospace Engineering (United States Naval Academy, 1981); Master of Science in Aeronautical Engineering (U.S. Naval Postgraduate School, 1989)",American naval officer; Aviator; Test pilot; Aerospace engineer; Aeronautical engineer; NASA astronaut,41 days 18 hours 1 minute,water skiing; snow skiing; board sailing; boating; running; basketball; squash,American,66
Brewster H. Shaw,Bachelor of Science degree; Master of Science degree,"Bachelor of Science in Engineering Mechanics (University of Wisconsin–Madison, 1968); Master of Science in Engineering Mechanics (University of Wisconsin–Madison, 1969)","Colonel, USAF; NASA astronaut; Boeing executive; Chief Operating Officer of United Space Alliance",22d 5h 51m,music (member of a band called The Gentlemen),U.S.,80
Brian Duffy,Bachelor of Science degree; Master of Science degree,"Bachelor of Science in Mathematics (United States Air Force Academy, 1975); Master of Science in Systems Management (University of Southern California, 1981)","Colonel, USAF; NASA Astronaut; Vice President of Mission Operations and Support Services, Lockheed Martin Corporation; Vice President and JSC Program Manager for Exploration Systems, Orbital ATK","40 days, 17 hours, 34 minutes and 59 seconds",,United States,72
Bruce E. Melnick,Engineer; Aeronautical Systems,"BS in Engineering (United States Coast Guard Academy, 1972); MS in Aeronautical Systems (University of West Florida, 1975); Honorary Doctorate of Science (University of West Florida, 2001)","Astronaut; United States Coast Guard officer; Vice President, Boeing Integrated Defense Systems; Director, Lockheed Space Operations Company",12d 23h 27m,,United States,75
Bruce McCandless,,"None (United States Naval Academy, 1932)",Officer of United States Navy; Rear admiral,,,United States of America,
Bryan D. O'Connor,Bachelor of Science degree; Master of Science degree,"Bachelor of Science degree in engineering (United States Naval Academy, 1968); Master of Science degree in aeronautical systems (University of West Florida, 1970); None (Naval Safety School at the U.S. Naval Postgraduate School, 1972); None (U.S. Naval Test Pilot School, 1976)","Colonel, USMC; NASA astronaut; Aerospace consultant",15d 23h 18m,,United States,79
Buzz Aldrin,Bachelor of Science degree; Sc.D. in Astronautics,"Bachelor of Science in Mechanical Engineering (United States Military Academy, 1951); Sc.D. in Astronautics (Massachusetts Institute of Technology, 1963)",Astronaut; Engineer; Fighter Pilot,12d 1h 53m,space exploration; advocacy for a human mission to Mars,American,95
Byron K. Lichtenberg,"Sc.B., aerospace engineering; S.M., mechanical engineering; Sc.D., biomedical engineering; Sc.D.","Sc.B., aerospace engineering (Brown University, 1969); S.M., mechanical engineering (MIT, 1975); Sc.D., biomedical engineering (MIT, 1979); Sc.D., honorary (Westminster College, None)","Engineer; Lieutenant colonel, USAF; Fighter pilot; Chief Technical Officer, Zero Gravity Corporation; Captain, Southwest Airlines; Professor, LeTourneau University",19d 05h 56m,,U.S.,77
C. Gordon Fullerton,Bachelor of Science degree; Master of Science degree,"Bachelor of Science in Mechanical Engineering (California Institute of Technology, 1957); Master of Science in Mechanical Engineering (California Institute of Technology, 1958)",United States Air Force Colonel; USAF Astronaut; NASA Astronaut; Research Pilot at NASA's Dryden Flight Research Facility,15d 22h 50m,,United States,76
Carl E. Walz,Bachelor of Science degree; Master of Science degree,"Bachelor of Science in physics (Kent State University, 1977); Master of Science in solid state physics (John Carroll University, 1979)","Colonel, USAF; NASA astronaut; Vice president for Human Space Flight Operations, Orbital Sciences Corporation; Director Business Development, Oceaneering",230d 13h 4m,piano and vocal music; sports,U.S.,70
Carl J. Meade,Bachelor of Science degree; Master of Science degree,"Bachelor of Science in Electronics Engineering (University of Texas, 1973); Master of Science in Electronics Engineering (California Institute of Technology, 1975)","Colonel, USAF; NASA Astronaut; Engineering Manager, Northrop Grumman Integrated Systems",29d 16h 14m,woodworking; home-built aircraft construction; racquetball; jogging; snow skiing,U.S.,74
Carlos I. Noriega,Bachelor of Science degree; Master of Science degree,"Bachelor of Science (University of Southern California, 1981); Master of Science (Naval Postgraduate School, 1990); Master of Science (Naval Postgraduate School, 1990)","Lieutenant Colonel, USMC; Astronaut; NASA Employee; Retired U.S. Marine Corps Lieutenant Colonel; Manager, Advanced Projects Office, Constellation Program, Johnson Space Center",20d 1h 18m,,American Peruvian,65
Catherine Grace Coleman,Bachelor of Science degree; Doctor of Philosophy (PhD),"B.S. in Chemistry (Massachusetts Institute of Technology, 1983); Ph.D. in Polymer Science and Engineering (University of Massachusetts Amherst, 1991)","Chemist; Engineer; Colonel, United States Air Force; NASA Astronaut",180d 4h 0m,rowing; flute playing,American,64
Charles Camarda,Bachelor's degree; Master's degree; Doctorate in aerospace engineering,"Bachelor's degree in aerospace engineering (Polytechnic Institute of Brooklyn, 1974); Master's degree in engineering science (George Washington University, 1980); Doctorate in aerospace engineering (Virginia Polytechnic Institute and State University, 1990)",Engineer; NASA astronaut; Senior Advisor for Engineering Development; Senior Advisor for Innovation; Mission Specialist; Director of Engineering at NASA's Johnson Space Center,13d 21h 32m,,American,73
Charles D. Gemar,Bachelor of Science degree,"BS in Engineering (United States Military Academy, 1979)","Lieutenant colonel, USA; Astronaut",24d 5h 38m,water sports; jogging; woodworking; traveling,United States,70
Charles D. Walker,Bachelor of Science degree,"Bachelor of Science in Aeronautical and Astronautical Engineering (Purdue University, 1971)",Engineer; Astronaut; Consultant; Author; Lecturer,19d 21h 56m,photography; running; hiking; scuba diving; reading; collecting books on space; bonsai,American,77
Charles E. Brady Jr.,Bachelor of Science degree; MD,"BS (University of North Carolina at Chapel Hill, 1971); MD (Duke University, 1975); Internship (University of Tennessee Medical Center, None)","Physician; Captain, USN; Astronaut; Flight Surgeon",16d 21h 48m,canoeing; kayaking; tennis; biking; amateur radio operating,United States,54
Charles Frank Bolden Jr.,Bachelor of Science degree; Master of Science degree,"Bachelor of Science in Electrical Science (United States Naval Academy, 1968); Master of Science in Systems Management (University of Southern California, 1977)",Administrator of NASA; United States Marine Corps Major General; Astronaut; Marine Aviator; Test Pilot; Deputy Commandant of Midshipmen at the Naval Academy,"28 days, 8 hours, 37 minutes",,United States,79
"Charles J., Jr. Precourt",,,,"9 days, 19 hours, 23 minutes, 9 seconds",,,
Charles L. Veach,Bachelor of Science degree,"None (Punahou School, Honolulu, Hawaii, 1962); BS in Engineering Management (United States Air Force Academy, 1966)","Colonel, USAF; Fighter pilot; Engineer; Research pilot; NASA astronaut",18d 4h 18m,surfing; bicycling; reading; activities with his family,United States,
Charles Moss Duke Jr.,Bachelor of Science degree; Master of Science degree,"Bachelor of Science in Naval Sciences (United States Naval Academy, 1957); Master of Science in Aeronautics and Astronautics (Massachusetts Institute of Technology, 1964)","American former astronaut; United States Air Force officer; Test pilot; Brigadier General, USAF",11d 1h 51m,Golf,United States,89
Charles O. Hobaugh,Bachelor of Science degree,"Bachelor of Science in Aerospace Engineering (United States Naval Academy, 1984); None (University of Tennessee Space Institute, None)","Colonel, USMC; NASA Astronaut; Pilot; Commander",36d 7h 47m,weight lifting; volleyball; boating; water skiing; snow skiing; soccer; bicycling; running; rowing; competing in triathlons,U.S.,63
Chiaki Mukai,Doctorate in Medicine; Doctorate in Physiology,"Doctorate in Medicine (Keio University School of Medicine, 1977); Doctorate in Physiology (Keio University School of Medicine, 1988); Board Certified as a Cardiovascular Surgeon (Japan Surgical Society, 1989)","Physician; Astronaut; Assistant Professor of the Department of Cardiovascular Surgery, Keio University; Vice President of Tokyo University of Science; JAXA Technical Counselor",23d 15h 39m,snow skiing; Alpine competitive skiing; bass fishing; scuba diving; tennis; golf; photography; American literature; traveling,Japan,73
Chris Austin Hadfield,BEng; Master of Science degree,"None (Royal Roads Military College, None); BEng in Mechanical Engineering (Royal Military College of Canada, 1982); None (University of Waterloo, 1982); MSc in Aviation Systems (University of Tennessee Space Institute, 1992)",Retired Astronaut; Engineer; Fighter Pilot; Musician; Writer; Professor,"165 days, 16 hours, 18 minutes",skiing; Toronto Maple Leafs,Canada,66
Christa McAuliffe,Bachelor's degree; Master's degree,"Bachelor's degree in education and history (Framingham State University, 1970); Master's degree in education supervision and administration (Bowie State University, 1978)",Teacher; Astronaut; Payload Specialist,,,United States,
Christer Fuglesang,Master's degree; Doctorate in experimental particle physics,"Master's degree in engineering physics (Royal Institute of Technology, 1981); Doctorate in experimental particle physics (Stockholm University, 1987)",Physicist; ESA Astronaut,26d 17h 38m,Skeptics and atheists,Sweden,68
Christina Koch,Bachelor of Science degree; Master of Science degree,"Bachelor of Science in Electrical Engineering (North Carolina State University, 2001); Bachelor of Science in Physics (North Carolina State University, 2001); Master of Science in Electrical Engineering (North Carolina State University, 2002)",Engineer; NASA Astronaut; Station Chief for American Samoa,"328 days, 13 hours, 58 minutes",backpacking; rock climbing; paddling; sailing; running; yoga; community service; photography; surfing; travel,American,46
Christopher Ferguson,Bachelor of Science degree; Master of Science degree,"Bachelor of Science in mechanical engineering (Drexel University, 1984); Master of Science in aeronautical engineering (Naval Postgraduate School, 1991)",Commercial Astronaut for Boeing; Retired United States Navy Captain; NASA Astronaut,40d 10h 3m,,United States,64
Christopher John Cassidy,Bachelor of Science degree; Master of Science degree,"Bachelor of Science in Mathematics (United States Naval Academy, 1993); Master of Science in Ocean Engineering (Massachusetts Institute of Technology, 2000)","NASA Astronaut; Captain, United States Navy; United States Navy SEAL; President and CEO, National Medal of Honor Museum Foundation",377d 17h 49m,traveling; biking; camping; snow skiing; weight lifting; running; basketball; real estate; home improvement,U.S.,55
Claude Nicollier,Licentiate degree in Physics; Diploma,"Licentiate degree in Physics (University of Lausanne, 1970); Post Diploma degree in Astrophysics (University of Geneva, 1975)","Professor at the Swiss Federal Institute of Technology in Lausanne; Captain, Swiss Air Force; DC-9 pilot, Swissair; Mission Specialist, ESA/NASA",42d 12h 05min,,Swiss,81
Curtis Lee Brown Jr.,Bachelor of Science degree,"Bachelor of Science in Electrical Engineering (United States Air Force Academy, 1978)","Colonel, USAF; NASA Astronaut; Airline Pilot",57d 17h 7m,,U.S.,69
Dafydd Rhys Williams,Bachelor of Science degree; Master of Science degree; Master's degree,"Bachelor of Science in biology (McGill University, 1976); Master of Science in physiology (McGill University, 1983); Doctor of Medicine and Master of Surgery (McGill University, 1983); Residency in family medicine (University of Ottawa, 1985); Residency in emergency medicine (University of Toronto, 1988)",Physician; Public Speaker; Author; Retired CSA Astronaut; Emergency Physician with Sunnybrook Health Science Centre; Assistant Professor of Surgery at University of Toronto; Medical Director at Sunnybrook Health Science Centre,"28 days, 15 hours, 47 minutes",flying; scuba diving; hiking; sailing; kayaking; canoeing; downhill skiing; cross-country skiing,Canada,71
Dale Gardner,Engineering Physics,"Bachelor of Science in Engineering Physics (University of Illinois at Urbana-Champaign, 1970)","NASA astronaut; Naval Flight Officer; Captain, USN",14d 0h 52m,snow skiing; golfing; tennis; woodworking; photography,United States,
Daniel C. Burbank,Bachelor of Science degree; Master of Science degree,"BS (United States Coast Guard Academy, 1985); MS Aeronautical Science (Embry-Riddle Aeronautical University, None)","Captain, USCG; Astronaut; Instructor Pilot; Professor of Engineering",188 days,licensed amateur radio operator; member of the astronaut band 'Max Q'; former member of The Idlers,American,64
Daniel Charles Brandenstein,Bachelor of Science degree,"Bachelor of Science in mathematics and physics (University of Wisconsin–River Falls, None)",Executive Vice President and Chief Operating Officer of United Space Alliance; Naval Aviator; Test Pilot; NASA Astronaut; Pilot; Commander; Deputy Director of Flight Crew Operations; Chief of the Astronaut Office,32d 21h 3m,,U.S.,82
Daniel M. Tani,Bachelor of Science degree; Master of Science degree,"None (Glenbard East High School, 1979); Bachelor of Science in mechanical engineering (Massachusetts Institute of Technology, 1984); Master of Science in mechanical engineering (Massachusetts Institute of Technology, 1988)",Engineer; Astronaut; Vice President of Mission and Cargo Operations at Orbital Sciences Corporation; Science faculty at the American School in Japan,131d 18h 29m,golf; flying; running; tennis; music; cooking,United States,64
Daniel T. Barry,Bachelor of Science degree; Doctor of Philosophy (PhD); Doctor of Medicine,"Bachelor of Science in Electrical Engineering (Cornell University, 1975); Ph.D. in Electrical Engineering and Computer Science (Princeton University, 1980); Doctor of Medicine (Miller School of Medicine, University of Miami, 1982)",Engineer; Scientist; Television Personality; Retired NASA Astronaut; Co-chair of the Faculty of Artificial Intelligence and Robotics at Singularity University; Founder and President of Denbar Robotics,30d 14h 27m,,American,71
Daniel W. Bursch,Bachelor of Science degree; Master of Science degree,"Bachelor of Science in Physics (United States Naval Academy, 1979); Master of Science in Engineering Science (U.S. Naval Postgraduate School, 1991)","NASA Astronaut; Captain, United States Navy; Naval Flight Officer; Flight Instructor; Project Test Flight Officer; Strike Operations Officer; National Reconnaissance Office (NRO) Chair",226d 22h 16m,,United States,68
David Alexander Wolf,"Electrical Engineering, Purdue University; Medical Degree, Indiana University School of Medicine","Electrical Engineering (Purdue University, None); Medical Degree (Indiana University School of Medicine, 1982)","Astronaut; Medical Doctor; Electrical Engineer; Flight Surgeon, United States Air Force",168d 8h 57m,,United States,69
David C. Hilmers,Bachelor of Arts degree; Master of Science degree; Electrical Engineer; Doctor of Medicine,"Bachelor of Arts degree in mathematics (summa cum laude) (Cornell College, 1972); Master of Science degree in electrical engineering (Naval Postgraduate School, 1977); Electrical Engineer (U.S. Naval Postgraduate School, 1978); Doctor of Medicine (M.D.) (Baylor College of Medicine, 1995); Master of Science degree in Public Health (MPH) (UTHealth School of Public Health at University of Texas Health Science Center at Houston, 2002)","Colonel, USMC; NASA astronaut (former); Professor in the departments of Internal Medicine and Pediatrics, the Center for Space Medicine, and Baylor Global Initiatives at the Baylor College of Medicine",20d 14h 16m,playing the piano; gardening; electronics; spending time with his family; all types of sports,U.S.,75
David Cornell Leestma,Bachelor of Science degree; Master of Science degree,"Bachelor of Science in Aeronautical Engineering (United States Naval Academy, 1971); Master of Science in Aeronautical Engineering (Naval Postgraduate School, 1972)","Captain, United States Navy; Astronaut; Assistant Program Manager for the Orbital Space Plane Program",22d 4d 32m,golfing; tennis; aviation; fishing,United States,76
