name,interests,nationality,age,cleaned_name,Mission.Role,Hobby Category,Recategorized Hobby Category,Hobby Category (Recategorized)
Andrew Feustel,guitar,United States,60.0,Andrew Feustel,msp,Artistic & Creative Pursuits,Uncategorized - Reason: Cannot confidently assign hobby to a single category,Artistic & Creative Pursuits
Andrew Feustel,member of the astronaut band Max Q,United States,60.0,Andrew Feustel,msp,Artistic & Creative Pursuits,Uncategorized - Reason: Cannot confidently assign hobby to a single category,Intellectual & Academic Pursuits
Andrew Feustel,automobile restoration,United States,60.0,Andrew Feustel,msp,Technical & Maker Hobbies,Uncategorized - Reason: Cannot confidently assign hobby to a single category,Intellectual & Academic Pursuits
Andrew Feustel,skiing,United States,60.0,Andrew Feustel,msp,Sports & Physical Activities,Sports & Physical Activities,Sports & Physical Activities
Andrew Feustel,guitar,United States,60.0,Andrew Feustel,msp,Artistic & Creative Pursuits,Uncategorized - Reason: Cannot confidently assign hobby to a single category,Artistic & Creative Pursuits
Andrew Feustel,member of the astronaut band Max Q,United States,60.0,Andrew Feustel,msp,Artistic & Creative Pursuits,Uncategorized - Reason: Cannot confidently assign hobby to a single category,Intellectual & Academic Pursuits
Andrew Feustel,automobile restoration,United States,60.0,Andrew Feustel,flight engineer,Technical & Maker Hobbies,Uncategorized - Reason: Cannot confidently assign hobby to a single category,Intellectual & Academic Pursuits
Andrew Feustel,skiing,United States,60.0,Andrew Feustel,flight engineer,Sports & Physical Activities,Sports & Physical Activities,Sports & Physical Activities
Andrew Feustel,guitar,United States,60.0,Andrew Feustel,flight engineer,Artistic & Creative Pursuits,Uncategorized - Reason: Cannot confidently assign hobby to a single category,Artistic & Creative Pursuits
Andrew Feustel,member of the astronaut band Max Q,United States,60.0,Andrew Feustel,flight engineer,Artistic & Creative Pursuits,Uncategorized - Reason: Cannot confidently assign hobby to a single category,Intellectual & Academic Pursuits
Anthony England,sailing,American,83.0,Anthony England,msp,Sports & Physical Activities,Uncategorized - Reason: Cannot confidently assign hobby to a single category,Outdoor & Nature Pursuits
Anthony England,amateur radio,American,83.0,Anthony England,msp,Technical & Maker Hobbies,Uncategorized - Reason: Cannot confidently assign hobby to a single category,Technical & Maker Hobbies
Anton Shkaplerov,sports,Russia,53.0,Anton Shkaplerov,commander,Sports & Physical Activities,Uncategorized - Reason: Cannot confidently assign hobby to a single category,Sports & Physical Activities
Anton Shkaplerov,travel,Russia,53.0,Anton Shkaplerov,commander,Social & Community Activities,Uncategorized - Reason: Cannot confidently assign hobby to a single category,Intellectual & Academic Pursuits
Anton Shkaplerov,fishing,Russia,53.0,Anton Shkaplerov,commander,Sports & Physical Activities,Outdoor & Nature Pursuits,Outdoor & Nature Pursuits
Anton Shkaplerov,golf,Russia,53.0,Anton Shkaplerov,commander,Sports & Physical Activities,Uncategorized - Reason: Cannot confidently assign hobby to a single category,Sports & Physical Activities
Anton Shkaplerov,sports,Russia,53.0,Anton Shkaplerov,commander,Sports & Physical Activities,Uncategorized - Reason: Cannot confidently assign hobby to a single category,Sports & Physical Activities
Anton Shkaplerov,travel,Russia,53.0,Anton Shkaplerov,commander,Social & Community Activities,Uncategorized - Reason: Cannot confidently assign hobby to a single category,Intellectual & Academic Pursuits
Anton Shkaplerov,fishing,Russia,53.0,Anton Shkaplerov,commander,Sports & Physical Activities,Outdoor & Nature Pursuits,Outdoor & Nature Pursuits
Anton Shkaplerov,golf,Russia,53.0,Anton Shkaplerov,commander,Sports & Physical Activities,Uncategorized - Reason: Cannot confidently assign hobby to a single category,Sports & Physical Activities
Anton Shkaplerov,sports,Russia,53.0,Anton Shkaplerov,commander,Sports & Physical Activities,Uncategorized - Reason: Cannot confidently assign hobby to a single category,Sports & Physical Activities
Anton Shkaplerov,travel,Russia,53.0,Anton Shkaplerov,commander,Social & Community Activities,Uncategorized - Reason: Cannot confidently assign hobby to a single category,Intellectual & Academic Pursuits
Anton Shkaplerov,fishing,Russia,53.0,Anton Shkaplerov,commander,Sports & Physical Activities,Outdoor & Nature Pursuits,Outdoor & Nature Pursuits
Anton Shkaplerov,golf,Russia,53.0,Anton Shkaplerov,commander,Sports & Physical Activities,Uncategorized - Reason: Cannot confidently assign hobby to a single category,Sports & Physical Activities
Barbara Morgan,jazz,American,73.0,Barbara Morgan,msp,Artistic & Creative Pursuits,Uncategorized - Reason: Cannot confidently assign hobby to a single category,Intellectual & Academic Pursuits
Barbara Morgan,literature,American,73.0,Barbara Morgan,msp,Artistic & Creative Pursuits,Uncategorized - Reason: Cannot confidently assign hobby to a single category,Intellectual & Academic Pursuits
Barbara Morgan,hiking,American,73.0,Barbara Morgan,msp,Outdoor & Nature Pursuits,Outdoor & Nature Pursuits,Outdoor & Nature Pursuits
Barbara Morgan,swimming,American,73.0,Barbara Morgan,msp,Sports & Physical Activities,Sports & Physical Activities,Sports & Physical Activities
Barbara Morgan,cross-country skiing,American,73.0,Barbara Morgan,msp,Sports & Physical Activities,Sports & Physical Activities,Sports & Physical Activities
Barry Wilmore,Christian,American,62.0,Barry Wilmore,pilot,Social & Community Activities,Uncategorized - Reason: Cannot confidently assign hobby to a single category,Intellectual & Academic Pursuits
Barry Wilmore,attending remote Sunday services,American,62.0,Barry Wilmore,pilot,Social & Community Activities,Uncategorized - Reason: Cannot confidently assign hobby to a single category,Social & Community Activities
Barry Wilmore,Christian,American,62.0,Barry Wilmore,flight engineer,Social & Community Activities,Uncategorized - Reason: Cannot confidently assign hobby to a single category,Intellectual & Academic Pursuits
Barry Wilmore,attending remote Sunday services,American,62.0,Barry Wilmore,flight engineer,Social & Community Activities,Uncategorized - Reason: Cannot confidently assign hobby to a single category,Social & Community Activities
Bonnie Dunbar,reading science fiction novels,United States,76.0,Bonnie Dunbar,msp,Intellectual & Academic Pursuits,Intellectual & Academic Pursuits,Intellectual & Academic Pursuits
Bonnie Dunbar,following the Mercury Seven exploits,United States,76.0,Bonnie Dunbar,msp,Other/Uncategorized,Uncategorized - Reason: Cannot confidently assign hobby to a single category,Intellectual & Academic Pursuits
Bonnie Dunbar,reading science fiction novels,United States,76.0,Bonnie Dunbar,msp,Intellectual & Academic Pursuits,Intellectual & Academic Pursuits,Intellectual & Academic Pursuits
Bonnie Dunbar,following the Mercury Seven exploits,United States,76.0,Bonnie Dunbar,msp,Other/Uncategorized,Uncategorized - Reason: Cannot confidently assign hobby to a single category,Intellectual & Academic Pursuits
Bonnie Dunbar,reading science fiction novels,United States,76.0,Bonnie Dunbar,msp,Intellectual & Academic Pursuits,Intellectual & Academic Pursuits,Intellectual & Academic Pursuits
Bonnie Dunbar,following the Mercury Seven exploits,United States,76.0,Bonnie Dunbar,msp,Other/Uncategorized,Uncategorized - Reason: Cannot confidently assign hobby to a single category,Intellectual & Academic Pursuits
Bonnie Dunbar,reading science fiction novels,United States,76.0,Bonnie Dunbar,msp,Intellectual & Academic Pursuits,Intellectual & Academic Pursuits,Intellectual & Academic Pursuits
Bonnie Dunbar,following the Mercury Seven exploits,United States,76.0,Bonnie Dunbar,msp,Other/Uncategorized,Uncategorized - Reason: Cannot confidently assign hobby to a single category,Intellectual & Academic Pursuits
Bonnie Dunbar,reading science fiction novels,United States,76.0,Bonnie Dunbar,msp,Intellectual & Academic Pursuits,Intellectual & Academic Pursuits,Intellectual & Academic Pursuits
Bonnie Dunbar,following the Mercury Seven exploits,United States,76.0,Bonnie Dunbar,msp,Other/Uncategorized,Uncategorized - Reason: Cannot confidently assign hobby to a single category,Intellectual & Academic Pursuits
Brent Jett,water skiing,American,66.0,Brent Jett,pilot,Sports & Physical Activities,Sports & Physical Activities,Sports & Physical Activities
Brent Jett,snow skiing,American,66.0,Brent Jett,pilot,Sports & Physical Activities,Sports & Physical Activities,Sports & Physical Activities
Brent Jett,board sailing,American,66.0,Brent Jett,pilot,Sports & Physical Activities,Uncategorized - Reason: Cannot confidently assign hobby to a single category,Outdoor & Nature Pursuits
Brent Jett,boating,American,66.0,Brent Jett,pilot,Sports & Physical Activities,Uncategorized - Reason: Cannot confidently assign hobby to a single category,Intellectual & Academic Pursuits
Brent Jett,running,American,66.0,Brent Jett,pilot,Sports & Physical Activities,Sports & Physical Activities,Sports & Physical Activities
Brent Jett,basketball,American,66.0,Brent Jett,pilot,Sports & Physical Activities,Sports & Physical Activities,Sports & Physical Activities
Brent Jett,squash,American,66.0,Brent Jett,pilot,Sports & Physical Activities,Uncategorized - Reason: Cannot confidently assign hobby to a single category,Intellectual & Academic Pursuits
Brent Jett,water skiing,American,66.0,Brent Jett,pilot,Sports & Physical Activities,Sports & Physical Activities,Sports & Physical Activities
Brent Jett,snow skiing,American,66.0,Brent Jett,pilot,Sports & Physical Activities,Sports & Physical Activities,Sports & Physical Activities
Brent Jett,board sailing,American,66.0,Brent Jett,pilot,Sports & Physical Activities,Uncategorized - Reason: Cannot confidently assign hobby to a single category,Outdoor & Nature Pursuits
Brent Jett,boating,American,66.0,Brent Jett,pilot,Sports & Physical Activities,Uncategorized - Reason: Cannot confidently assign hobby to a single category,Intellectual & Academic Pursuits
Brent Jett,running,American,66.0,Brent Jett,pilot,Sports & Physical Activities,Sports & Physical Activities,Sports & Physical Activities
Brent Jett,basketball,American,66.0,Brent Jett,pilot,Sports & Physical Activities,Sports & Physical Activities,Sports & Physical Activities
Brent Jett,squash,American,66.0,Brent Jett,pilot,Sports & Physical Activities,Uncategorized - Reason: Cannot confidently assign hobby to a single category,Intellectual & Academic Pursuits
Brent Jett,water skiing,American,66.0,Brent Jett,commander,Sports & Physical Activities,Sports & Physical Activities,Sports & Physical Activities
Brent Jett,snow skiing,American,66.0,Brent Jett,commander,Sports & Physical Activities,Sports & Physical Activities,Sports & Physical Activities
Brent Jett,board sailing,American,66.0,Brent Jett,commander,Sports & Physical Activities,Uncategorized - Reason: Cannot confidently assign hobby to a single category,Outdoor & Nature Pursuits
Brent Jett,boating,American,66.0,Brent Jett,commander,Sports & Physical Activities,Uncategorized - Reason: Cannot confidently assign hobby to a single category,Intellectual & Academic Pursuits
Brent Jett,running,American,66.0,Brent Jett,commander,Sports & Physical Activities,Sports & Physical Activities,Sports & Physical Activities
Brent Jett,basketball,American,66.0,Brent Jett,commander,Sports & Physical Activities,Sports & Physical Activities,Sports & Physical Activities
Brent Jett,squash,American,66.0,Brent Jett,commander,Sports & Physical Activities,Uncategorized - Reason: Cannot confidently assign hobby to a single category,Intellectual & Academic Pursuits
Brent Jett,water skiing,American,66.0,Brent Jett,commander,Sports & Physical Activities,Sports & Physical Activities,Sports & Physical Activities
Brent Jett,snow skiing,American,66.0,Brent Jett,commander,Sports & Physical Activities,Sports & Physical Activities,Sports & Physical Activities
Brent Jett,board sailing,American,66.0,Brent Jett,commander,Sports & Physical Activities,Uncategorized - Reason: Cannot confidently assign hobby to a single category,Outdoor & Nature Pursuits
Brent Jett,boating,American,66.0,Brent Jett,commander,Sports & Physical Activities,Uncategorized - Reason: Cannot confidently assign hobby to a single category,Intellectual & Academic Pursuits
Brent Jett,running,American,66.0,Brent Jett,commander,Sports & Physical Activities,Sports & Physical Activities,Sports & Physical Activities
Brent Jett,basketball,American,66.0,Brent Jett,commander,Sports & Physical Activities,Sports & Physical Activities,Sports & Physical Activities
Brent Jett,squash,American,66.0,Brent Jett,commander,Sports & Physical Activities,Uncategorized - Reason: Cannot confidently assign hobby to a single category,Intellectual & Academic Pursuits
Carl Walz,piano and vocal music,U.S.,70.0,Carl Walz,msp,Artistic & Creative Pursuits,Artistic & Creative Pursuits,Artistic & Creative Pursuits
Carl Walz,sports,U.S.,70.0,Carl Walz,msp,Sports & Physical Activities,Uncategorized - Reason: Cannot confidently assign hobby to a single category,Sports & Physical Activities
Carl Walz,piano and vocal music,U.S.,70.0,Carl Walz,msp,Artistic & Creative Pursuits,Artistic & Creative Pursuits,Artistic & Creative Pursuits
Carl Walz,sports,U.S.,70.0,Carl Walz,msp,Sports & Physical Activities,Uncategorized - Reason: Cannot confidently assign hobby to a single category,Sports & Physical Activities
Carl Walz,piano and vocal music,U.S.,70.0,Carl Walz,msp,Artistic & Creative Pursuits,Artistic & Creative Pursuits,Artistic & Creative Pursuits
Carl Walz,sports,U.S.,70.0,Carl Walz,msp,Sports & Physical Activities,Uncategorized - Reason: Cannot confidently assign hobby to a single category,Sports & Physical Activities
Carl Walz,piano and vocal music,U.S.,70.0,Carl Walz,msp,Artistic & Creative Pursuits,Artistic & Creative Pursuits,Artistic & Creative Pursuits
Carl Walz,sports,U.S.,70.0,Carl Walz,msp,Sports & Physical Activities,Uncategorized - Reason: Cannot confidently assign hobby to a single category,Sports & Physical Activities
Carl Meade,woodworking,U.S.,74.0,Carl Meade,msp,Technical & Maker Hobbies,Technical & Maker Hobbies,Technical & Maker Hobbies
Carl Meade,home-built aircraft construction,U.S.,74.0,Carl Meade,msp,Technical & Maker Hobbies,Uncategorized - Reason: Cannot confidently assign hobby to a single category,Aviation & Space-Related Hobbies
Carl Meade,racquetball,U.S.,74.0,Carl Meade,msp,Sports & Physical Activities,Uncategorized - Reason: Cannot confidently assign hobby to a single category,Intellectual & Academic Pursuits
Carl Meade,jogging,U.S.,74.0,Carl Meade,msp,Sports & Physical Activities,Uncategorized - Reason: Cannot confidently assign hobby to a single category,Sports & Physical Activities
Carl Meade,snow skiing,U.S.,74.0,Carl Meade,msp,Sports & Physical Activities,Sports & Physical Activities,Sports & Physical Activities
Carl Meade,woodworking,U.S.,74.0,Carl Meade,msp,Technical & Maker Hobbies,Technical & Maker Hobbies,Technical & Maker Hobbies
Carl Meade,home-built aircraft construction,U.S.,74.0,Carl Meade,msp,Technical & Maker Hobbies,Uncategorized - Reason: Cannot confidently assign hobby to a single category,Aviation & Space-Related Hobbies
Carl Meade,racquetball,U.S.,74.0,Carl Meade,msp,Sports & Physical Activities,Uncategorized - Reason: Cannot confidently assign hobby to a single category,Intellectual & Academic Pursuits
Carl Meade,jogging,U.S.,74.0,Carl Meade,msp,Sports & Physical Activities,Uncategorized - Reason: Cannot confidently assign hobby to a single category,Sports & Physical Activities
Carl Meade,snow skiing,U.S.,74.0,Carl Meade,msp,Sports & Physical Activities,Sports & Physical Activities,Sports & Physical Activities
Carl Meade,woodworking,U.S.,74.0,Carl Meade,msp,Technical & Maker Hobbies,Technical & Maker Hobbies,Technical & Maker Hobbies
Carl Meade,home-built aircraft construction,U.S.,74.0,Carl Meade,msp,Technical & Maker Hobbies,Uncategorized - Reason: Cannot confidently assign hobby to a single category,Aviation & Space-Related Hobbies
Carl Meade,racquetball,U.S.,74.0,Carl Meade,msp,Sports & Physical Activities,Uncategorized - Reason: Cannot confidently assign hobby to a single category,Intellectual & Academic Pursuits
Carl Meade,jogging,U.S.,74.0,Carl Meade,msp,Sports & Physical Activities,Uncategorized - Reason: Cannot confidently assign hobby to a single category,Sports & Physical Activities
Carl Meade,snow skiing,U.S.,74.0,Carl Meade,msp,Sports & Physical Activities,Sports & Physical Activities,Sports & Physical Activities
Charles Gemar,water sports,United States,70.0,Charles Gemar,msp,Sports & Physical Activities,Uncategorized - Reason: Cannot confidently assign hobby to a single category,Sports & Physical Activities
Charles Gemar,jogging,United States,70.0,Charles Gemar,msp,Sports & Physical Activities,Uncategorized - Reason: Cannot confidently assign hobby to a single category,Sports & Physical Activities
Charles Gemar,woodworking,United States,70.0,Charles Gemar,msp,Technical & Maker Hobbies,Technical & Maker Hobbies,Technical & Maker Hobbies
Charles Gemar,traveling,United States,70.0,Charles Gemar,msp,Social & Community Activities,Uncategorized - Reason: Cannot confidently assign hobby to a single category,Intellectual & Academic Pursuits
Charles Gemar,water sports,United States,70.0,Charles Gemar,msp,Sports & Physical Activities,Uncategorized - Reason: Cannot confidently assign hobby to a single category,Sports & Physical Activities
Charles Gemar,jogging,United States,70.0,Charles Gemar,msp,Sports & Physical Activities,Uncategorized - Reason: Cannot confidently assign hobby to a single category,Sports & Physical Activities
Charles Gemar,woodworking,United States,70.0,Charles Gemar,msp,Technical & Maker Hobbies,Technical & Maker Hobbies,Technical & Maker Hobbies
Charles Gemar,traveling,United States,70.0,Charles Gemar,msp,Social & Community Activities,Uncategorized - Reason: Cannot confidently assign hobby to a single category,Intellectual & Academic Pursuits
Charles Gemar,water sports,United States,70.0,Charles Gemar,msp,Sports & Physical Activities,Uncategorized - Reason: Cannot confidently assign hobby to a single category,Sports & Physical Activities
Charles Gemar,jogging,United States,70.0,Charles Gemar,msp,Sports & Physical Activities,Uncategorized - Reason: Cannot confidently assign hobby to a single category,Sports & Physical Activities
Charles Gemar,woodworking,United States,70.0,Charles Gemar,msp,Technical & Maker Hobbies,Technical & Maker Hobbies,Technical & Maker Hobbies
Charles Gemar,traveling,United States,70.0,Charles Gemar,msp,Social & Community Activities,Uncategorized - Reason: Cannot confidently assign hobby to a single category,Intellectual & Academic Pursuits
Charles Hobaugh,weight lifting,U.S.,63.0,Charles Hobaugh,pilot,Sports & Physical Activities,Uncategorized - Reason: Cannot confidently assign hobby to a single category,Intellectual & Academic Pursuits
Charles Hobaugh,volleyball,U.S.,63.0,Charles Hobaugh,pilot,Sports & Physical Activities,Uncategorized - Reason: Cannot confidently assign hobby to a single category,Sports & Physical Activities
Charles Hobaugh,boating,U.S.,63.0,Charles Hobaugh,pilot,Sports & Physical Activities,Uncategorized - Reason: Cannot confidently assign hobby to a single category,Intellectual & Academic Pursuits
Charles Hobaugh,water skiing,U.S.,63.0,Charles Hobaugh,pilot,Sports & Physical Activities,Sports & Physical Activities,Sports & Physical Activities
Charles Hobaugh,snow skiing,U.S.,63.0,Charles Hobaugh,pilot,Sports & Physical Activities,Sports & Physical Activities,Sports & Physical Activities
Charles Hobaugh,soccer,U.S.,63.0,Charles Hobaugh,pilot,Sports & Physical Activities,Sports & Physical Activities,Sports & Physical Activities
Charles Hobaugh,bicycling,U.S.,63.0,Charles Hobaugh,pilot,Sports & Physical Activities,Sports & Physical Activities,Sports & Physical Activities
Charles Hobaugh,running,U.S.,63.0,Charles Hobaugh,pilot,Sports & Physical Activities,Sports & Physical Activities,Sports & Physical Activities
Charles Hobaugh,rowing,U.S.,63.0,Charles Hobaugh,pilot,Sports & Physical Activities,Uncategorized - Reason: Cannot confidently assign hobby to a single category,Sports & Physical Activities
Charles Hobaugh,competing in triathlons,U.S.,63.0,Charles Hobaugh,pilot,Sports & Physical Activities,Uncategorized - Reason: Cannot confidently assign hobby to a single category,Intellectual & Academic Pursuits
Charles Hobaugh,weight lifting,U.S.,63.0,Charles Hobaugh,pilot,Sports & Physical Activities,Uncategorized - Reason: Cannot confidently assign hobby to a single category,Intellectual & Academic Pursuits
Charles Hobaugh,volleyball,U.S.,63.0,Charles Hobaugh,pilot,Sports & Physical Activities,Uncategorized - Reason: Cannot confidently assign hobby to a single category,Sports & Physical Activities
Charles Hobaugh,boating,U.S.,63.0,Charles Hobaugh,pilot,Sports & Physical Activities,Uncategorized - Reason: Cannot confidently assign hobby to a single category,Intellectual & Academic Pursuits
Charles Hobaugh,water skiing,U.S.,63.0,Charles Hobaugh,pilot,Sports & Physical Activities,Sports & Physical Activities,Sports & Physical Activities
Charles Hobaugh,snow skiing,U.S.,63.0,Charles Hobaugh,pilot,Sports & Physical Activities,Sports & Physical Activities,Sports & Physical Activities
Charles Hobaugh,soccer,U.S.,63.0,Charles Hobaugh,pilot,Sports & Physical Activities,Sports & Physical Activities,Sports & Physical Activities
Charles Hobaugh,bicycling,U.S.,63.0,Charles Hobaugh,pilot,Sports & Physical Activities,Sports & Physical Activities,Sports & Physical Activities
Charles Hobaugh,running,U.S.,63.0,Charles Hobaugh,pilot,Sports & Physical Activities,Sports & Physical Activities,Sports & Physical Activities
Charles Hobaugh,rowing,U.S.,63.0,Charles Hobaugh,pilot,Sports & Physical Activities,Uncategorized - Reason: Cannot confidently assign hobby to a single category,Sports & Physical Activities
Charles Hobaugh,competing in triathlons,U.S.,63.0,Charles Hobaugh,pilot,Sports & Physical Activities,Uncategorized - Reason: Cannot confidently assign hobby to a single category,Intellectual & Academic Pursuits
Charles Hobaugh,weight lifting,U.S.,63.0,Charles Hobaugh,commander,Sports & Physical Activities,Uncategorized - Reason: Cannot confidently assign hobby to a single category,Intellectual & Academic Pursuits
Charles Hobaugh,volleyball,U.S.,63.0,Charles Hobaugh,commander,Sports & Physical Activities,Uncategorized - Reason: Cannot confidently assign hobby to a single category,Sports & Physical Activities
Charles Hobaugh,boating,U.S.,63.0,Charles Hobaugh,commander,Sports & Physical Activities,Uncategorized - Reason: Cannot confidently assign hobby to a single category,Intellectual & Academic Pursuits
Charles Hobaugh,water skiing,U.S.,63.0,Charles Hobaugh,commander,Sports & Physical Activities,Sports & Physical Activities,Sports & Physical Activities
Charles Hobaugh,snow skiing,U.S.,63.0,Charles Hobaugh,commander,Sports & Physical Activities,Sports & Physical Activities,Sports & Physical Activities
Charles Hobaugh,soccer,U.S.,63.0,Charles Hobaugh,commander,Sports & Physical Activities,Sports & Physical Activities,Sports & Physical Activities
Charles Hobaugh,bicycling,U.S.,63.0,Charles Hobaugh,commander,Sports & Physical Activities,Sports & Physical Activities,Sports & Physical Activities
Charles Hobaugh,running,U.S.,63.0,Charles Hobaugh,commander,Sports & Physical Activities,Sports & Physical Activities,Sports & Physical Activities
Charles Hobaugh,rowing,U.S.,63.0,Charles Hobaugh,commander,Sports & Physical Activities,Uncategorized - Reason: Cannot confidently assign hobby to a single category,Sports & Physical Activities
Charles Hobaugh,competing in triathlons,U.S.,63.0,Charles Hobaugh,commander,Sports & Physical Activities,Uncategorized - Reason: Cannot confidently assign hobby to a single category,Intellectual & Academic Pursuits
Chiaki Mukai,snow skiing,Japan,73.0,Chiaki Mukai,psp,Sports & Physical Activities,Sports & Physical Activities,Sports & Physical Activities
Chiaki Mukai,Alpine competitive skiing,Japan,73.0,Chiaki Mukai,psp,Sports & Physical Activities,Sports & Physical Activities,Sports & Physical Activities
Chiaki Mukai,bass fishing,Japan,73.0,Chiaki Mukai,psp,Sports & Physical Activities,Outdoor & Nature Pursuits,Outdoor & Nature Pursuits
