name,degrees,nationality,age,cleaned_name,Mission.Role,degree level,major,major category
Aleksandr Kaleri,"Specialist in Mechanics of Fluids and Plasma (Moscow Institute of Physics and Technology, 1983)",Russia,69.0,Aleksandr Kaleri,flight engineer,,Physics,natural science
Aleksandr Laveykin,,Soviet,74.0,Aleksandr Laveykin,flight engineer,,,
Aleksandr Poleshchuk,"Mechanical engineering diploma (Moscow Aviation Institute, 1977)",Russian,71.0,Aleksandr Poleshchuk,flight engineer,,Mechanical Engineering,engineering
Aleksandr Serebrov,Graduated from Moscow Institute of Physics and Technology (1967),Soviet / Russian,69.0,Aleksandr Serebrov,flight engineer,,Physics,natural science
Aleksandr Serebrov,Graduated from Moscow Institute of Physics and Technology (1967),Soviet / Russian,69.0,Aleksandr Serebrov,msp,,Physics,natural science
Aleksandr Serebrov,Graduated from Moscow Institute of Physics and Technology (1967),Soviet / Russian,69.0,Aleksandr Serebrov,flight engineer,,Physics,natural science
Aleksandr Serebrov,Graduated from Moscow Institute of Physics and Technology (1967),Soviet / Russian,69.0,Aleksandr Serebrov,flight engineer,,Physics,natural science
Aleksei Gubarev,"Graduated from the Soviet Naval Aviation School, 1952",Soviet,83.0,Aleksei Gubarev,commander,,,
Aleksei Gubarev,"Graduated from the Soviet Naval Aviation School, 1952",Soviet,83.0,Aleksei Gubarev,commander,,,
Aleksei Yeliseyev,"Graduate (Bauman Higher Technical School, 1957)",Soviet,91.0,Aleksei Yeliseyev,flight engineer,,,
Aleksei Yeliseyev,"Postgraduate (Moscow Institute of Physics and Technology, 1962)",Soviet,91.0,Aleksei Yeliseyev,flight engineer,,Physics,natural science
Aleksei Yeliseyev,"Graduate (Bauman Higher Technical School, 1957)",Soviet,91.0,Aleksei Yeliseyev,flight engineer,,,
Aleksei Yeliseyev,"Postgraduate (Moscow Institute of Physics and Technology, 1962)",Soviet,91.0,Aleksei Yeliseyev,flight engineer,,Physics,natural science
Aleksei Yeliseyev,"Graduate (Bauman Higher Technical School, 1957)",Soviet,91.0,Aleksei Yeliseyev,flight engineer,,,
Aleksei Yeliseyev,"Postgraduate (Moscow Institute of Physics and Technology, 1962)",Soviet,91.0,Aleksei Yeliseyev,flight engineer,,Physics,natural science
Aleksey Ovchinin,"Pilot-Engineer (Yeisk Higher Military Pilot School, 1992)",Russia,53.0,Aleksey Ovchinin,commander,,,
Aleksey Ovchinin,"Pilot-Engineer (Yeisk Higher Military Pilot School, 1992)",Russia,53.0,Aleksey Ovchinin,commander,,,
Aleksey Ovchinin,"Pilot-Engineer (Yeisk Higher Military Pilot School, 1992)",Russia,53.0,Aleksey Ovchinin,commander,,,
Alexander Gerst,"Degree in geophysics (University of Karlsruhe, year not specified)",Germany,49.0,Alexander Gerst,flight engineer,bachelor,,
Alexander Gerst,"Master's degree in earth sciences (Victoria University of Wellington, year not specified)",Germany,49.0,Alexander Gerst,flight engineer,master,,
Alexander Gerst,"Doctorate in natural sciences (University of Hamburg, 2010)",Germany,49.0,Alexander Gerst,flight engineer,doctor,,
Alexander Gerst,"Degree in geophysics (University of Karlsruhe, year not specified)",Germany,49.0,Alexander Gerst,flight engineer,bachelor,,
Alexander Gerst,"Master's degree in earth sciences (Victoria University of Wellington, year not specified)",Germany,49.0,Alexander Gerst,flight engineer,master,,
Alexander Gerst,"Doctorate in natural sciences (University of Hamburg, 2010)",Germany,49.0,Alexander Gerst,flight engineer,doctor,,
Alexander Volkov,,Russian,36.0,Alexander Volkov,msp,,,
Alexander Volkov,,Russian,36.0,Alexander Volkov,msp,,,
Alexander Volkov,,Russian,36.0,Alexander Volkov,msp,,,
Alfred Worden,"BS in Military Science (United States Military Academy, 1955)",American,,Alfred Worden,pilot,bachelor,Military Science,natural science
Alfred Worden,"MS in Aerospace Engineering (University of Michigan, 1963)",American,,Alfred Worden,pilot,master,Aerospace Engineering,engineering
Alfred Worden,"MS in Instrumentation Engineering (University of Michigan, 1963)",American,,Alfred Worden,pilot,master,Instrumentation Engineering,engineering
Anatoly Artsebarsky,,Soviet Union,69.0,Anatoly Artsebarsky,commander,,,
Anatoly Berezovoy,,Soviet Russian,,Anatoly Berezovoy,commander,,,
Anatoly Filipchenko,,Soviet,94.0,Anatoly Filipchenko,commander,,,
Anatoly Filipchenko,,Soviet,94.0,Anatoly Filipchenko,commander,,,
Anatoly Solovyev,,Russian,77.0,Anatoly Solovyev,commander,,,
Anatoly Solovyev,,Russian,77.0,Anatoly Solovyev,commander,,,
Anatoly Solovyev,,Russian,77.0,Anatoly Solovyev,commander,,,
Anatoly Solovyev,,Russian,77.0,Anatoly Solovyev,commander,,,
Anatoly Solovyev,,Russian,77.0,Anatoly Solovyev,commander,,,
Andrew Feustel,"Associate of Science (Oakland Community College, 1985)",United States,60.0,Andrew Feustel,msp,bachelor,,
Andrew Feustel,"Bachelor of Science in Solid Earth Sciences (Purdue University, 1989)",United States,60.0,Andrew Feustel,msp,bachelor,Science in Solid Earth Sciences,natural science
Andrew Feustel,"Master of Science in Geophysics (Purdue University, 1991)",United States,60.0,Andrew Feustel,msp,bachelor,Science in Geophysics,natural science
Andrew Feustel,"PhD in Geological Sciences (Queen's University, 1995)",United States,60.0,Andrew Feustel,msp,doctor,Geological Sciences,natural science
Andrew Feustel,"Associate of Science (Oakland Community College, 1985)",United States,60.0,Andrew Feustel,msp,bachelor,,
Andrew Feustel,"Bachelor of Science in Solid Earth Sciences (Purdue University, 1989)",United States,60.0,Andrew Feustel,msp,bachelor,Science in Solid Earth Sciences,natural science
Andrew Feustel,"Master of Science in Geophysics (Purdue University, 1991)",United States,60.0,Andrew Feustel,msp,bachelor,Science in Geophysics,natural science
Andrew Feustel,"PhD in Geological Sciences (Queen's University, 1995)",United States,60.0,Andrew Feustel,msp,doctor,Geological Sciences,natural science
Andrew Feustel,"Associate of Science (Oakland Community College, 1985)",United States,60.0,Andrew Feustel,flight engineer,bachelor,,
Andrew Feustel,"Bachelor of Science in Solid Earth Sciences (Purdue University, 1989)",United States,60.0,Andrew Feustel,flight engineer,bachelor,Science in Solid Earth Sciences,natural science
Andrew Feustel,"Master of Science in Geophysics (Purdue University, 1991)",United States,60.0,Andrew Feustel,flight engineer,bachelor,Science in Geophysics,natural science
Andrew Feustel,"PhD in Geological Sciences (Queen's University, 1995)",United States,60.0,Andrew Feustel,flight engineer,doctor,Geological Sciences,natural science
Andrew Allen,"B.S. in Mechanical Engineering (Villanova University, 1977)",American,70.0,Andrew Allen,pilot,bachelor,Mechanical Engineering,engineering
Andrew Allen,"MBA (University of Florida, 2004)",American,70.0,Andrew Allen,pilot,master,,
Andrew Allen,"B.S. in Mechanical Engineering (Villanova University, 1977)",American,70.0,Andrew Allen,pilot,bachelor,Mechanical Engineering,engineering
Andrew Allen,"MBA (University of Florida, 2004)",American,70.0,Andrew Allen,pilot,master,,
Andrew Allen,"B.S. in Mechanical Engineering (Villanova University, 1977)",American,70.0,Andrew Allen,commander,bachelor,Mechanical Engineering,engineering
Andrew Allen,"MBA (University of Florida, 2004)",American,70.0,Andrew Allen,commander,master,,
Andriyan Nikolayev,,Soviet,,Andriyan Nikolayev,pilot,,,
Andriyan Nikolayev,,Soviet,,Andriyan Nikolayev,pilot,,,
Anna Fisher,,American,61.0,Anna Fisher,msp,,,
Anthony England,"Bachelor of Science (Massachusetts Institute of Technology, 1965)",American,83.0,Anthony England,msp,bachelor,Science,natural science
Anthony England,"Master of Science (Massachusetts Institute of Technology, 1965)",American,83.0,Anthony England,msp,bachelor,Science,natural science
Anthony England,"Doctor of Philosophy (Massachusetts Institute of Technology, 1970)",American,83.0,Anthony England,msp,doctor,Philosophy,social science
Anton Shkaplerov,"Pilot-Engineer (Kachinsk Air Force Pilot School, 1994)",Russia,53.0,Anton Shkaplerov,commander,,,
Anton Shkaplerov,Qualification - N. E. Zukovskiy Air Force Engineering School (1997),Russia,53.0,Anton Shkaplerov,commander,,,
Anton Shkaplerov,"Pilot-Engineer (Kachinsk Air Force Pilot School, 1994)",Russia,53.0,Anton Shkaplerov,commander,,,
Anton Shkaplerov,Qualification - N. E. Zukovskiy Air Force Engineering School (1997),Russia,53.0,Anton Shkaplerov,commander,,,
Anton Shkaplerov,"Pilot-Engineer (Kachinsk Air Force Pilot School, 1994)",Russia,53.0,Anton Shkaplerov,commander,,,
Anton Shkaplerov,Qualification - N. E. Zukovskiy Air Force Engineering School (1997),Russia,53.0,Anton Shkaplerov,commander,,,
Barbara Morgan,"B.A. in Human Biology (Stanford University, 1973)",American,73.0,Barbara Morgan,msp,bachelor,Human Biology,natural science
Barbara Morgan,"Teaching Credential (Notre Dame de Namur University, 1974)",American,73.0,Barbara Morgan,msp,bachelor,,
Barry Wilmore,Bachelor of Science (Tennessee Technological University),American,62.0,Barry Wilmore,pilot,bachelor,Science,natural science
Barry Wilmore,Master of Science (Tennessee Technological University),American,62.0,Barry Wilmore,pilot,bachelor,Science,natural science
Barry Wilmore,Master of Science in Aviation Systems (University of Tennessee),American,62.0,Barry Wilmore,pilot,bachelor,Science in Aviation Systems,natural science
Barry Wilmore,Bachelor of Science (Tennessee Technological University),American,62.0,Barry Wilmore,flight engineer,bachelor,Science,natural science
Barry Wilmore,Master of Science (Tennessee Technological University),American,62.0,Barry Wilmore,flight engineer,bachelor,Science,natural science
Barry Wilmore,Master of Science in Aviation Systems (University of Tennessee),American,62.0,Barry Wilmore,flight engineer,bachelor,Science in Aviation Systems,natural science
Bjarni Tryggvason,"Engineering Physics (University of British Columbia, 1972)",Icelandic Canadian,,Bjarni Tryggvason,psp,bachelor,Physics,natural science
Bonnie Dunbar,"Bachelor of Science in Ceramic Engineering (University of Washington, 1971)",United States,76.0,Bonnie Dunbar,msp,bachelor,Science in Ceramic Engineering,engineering
Bonnie Dunbar,"Master of Science in Ceramic Engineering (University of Washington, 1975)",United States,76.0,Bonnie Dunbar,msp,bachelor,Science in Ceramic Engineering,engineering
Bonnie Dunbar,"PhD in Mechanical/Biomedical Engineering (University of Houston, 1983)",United States,76.0,Bonnie Dunbar,msp,doctor,Mechanical/Biomedical Engineering,engineering
Bonnie Dunbar,"Bachelor of Science in Ceramic Engineering (University of Washington, 1971)",United States,76.0,Bonnie Dunbar,msp,bachelor,Science in Ceramic Engineering,engineering
Bonnie Dunbar,"Master of Science in Ceramic Engineering (University of Washington, 1975)",United States,76.0,Bonnie Dunbar,msp,bachelor,Science in Ceramic Engineering,engineering
Bonnie Dunbar,"PhD in Mechanical/Biomedical Engineering (University of Houston, 1983)",United States,76.0,Bonnie Dunbar,msp,doctor,Mechanical/Biomedical Engineering,engineering
Bonnie Dunbar,"Bachelor of Science in Ceramic Engineering (University of Washington, 1971)",United States,76.0,Bonnie Dunbar,msp,bachelor,Science in Ceramic Engineering,engineering
Bonnie Dunbar,"Master of Science in Ceramic Engineering (University of Washington, 1975)",United States,76.0,Bonnie Dunbar,msp,bachelor,Science in Ceramic Engineering,engineering
Bonnie Dunbar,"PhD in Mechanical/Biomedical Engineering (University of Houston, 1983)",United States,76.0,Bonnie Dunbar,msp,doctor,Mechanical/Biomedical Engineering,engineering
Bonnie Dunbar,"Bachelor of Science in Ceramic Engineering (University of Washington, 1971)",United States,76.0,Bonnie Dunbar,msp,bachelor,Science in Ceramic Engineering,engineering
Bonnie Dunbar,"Master of Science in Ceramic Engineering (University of Washington, 1975)",United States,76.0,Bonnie Dunbar,msp,bachelor,Science in Ceramic Engineering,engineering
Bonnie Dunbar,"PhD in Mechanical/Biomedical Engineering (University of Houston, 1983)",United States,76.0,Bonnie Dunbar,msp,doctor,Mechanical/Biomedical Engineering,engineering
Bonnie Dunbar,"Bachelor of Science in Ceramic Engineering (University of Washington, 1971)",United States,76.0,Bonnie Dunbar,msp,bachelor,Science in Ceramic Engineering,engineering
Bonnie Dunbar,"Master of Science in Ceramic Engineering (University of Washington, 1975)",United States,76.0,Bonnie Dunbar,msp,bachelor,Science in Ceramic Engineering,engineering
Bonnie Dunbar,"PhD in Mechanical/Biomedical Engineering (University of Houston, 1983)",United States,76.0,Bonnie Dunbar,msp,doctor,Mechanical/Biomedical Engineering,engineering
Boris Morukov,"M.D. (2nd Moscow Medical Institute, 1973)",Russian,,Boris Morukov,flight engineer,,,
Boris Morukov,"Ph.D. (Institute for Biomedical Problems, 1979)",Russian,,Boris Morukov,flight engineer,doctor,,
Boris Volynov,,Soviet,90.0,Boris Volynov,commander,,,
Boris Volynov,,Soviet,90.0,Boris Volynov,commander,,,
Brent Jett,"Bachelor of Science in Aerospace Engineering (United States Naval Academy, 1981)",American,66.0,Brent Jett,pilot,bachelor,Science in Aerospace Engineering,engineering
Brent Jett,"Master of Science in Aeronautical Engineering (U.S. Naval Postgraduate School, 1989)",American,66.0,Brent Jett,pilot,,Science in Aeronautical Engineering,engineering
Brent Jett,"Bachelor of Science in Aerospace Engineering (United States Naval Academy, 1981)",American,66.0,Brent Jett,pilot,bachelor,Science in Aerospace Engineering,engineering
Brent Jett,"Master of Science in Aeronautical Engineering (U.S. Naval Postgraduate School, 1989)",American,66.0,Brent Jett,pilot,,Science in Aeronautical Engineering,engineering
Brent Jett,"Bachelor of Science in Aerospace Engineering (United States Naval Academy, 1981)",American,66.0,Brent Jett,commander,bachelor,Science in Aerospace Engineering,engineering
Brent Jett,"Master of Science in Aeronautical Engineering (U.S. Naval Postgraduate School, 1989)",American,66.0,Brent Jett,commander,,Science in Aeronautical Engineering,engineering
Brent Jett,"Bachelor of Science in Aerospace Engineering (United States Naval Academy, 1981)",American,66.0,Brent Jett,commander,bachelor,Science in Aerospace Engineering,engineering
Brent Jett,"Master of Science in Aeronautical Engineering (U.S. Naval Postgraduate School, 1989)",American,66.0,Brent Jett,commander,,Science in Aeronautical Engineering,engineering
Brian Duffy,"Bachelor of Science in Mathematics (United States Air Force Academy, 1975)",United States,72.0,Brian Duffy,pilot,bachelor,Science in Mathematics,natural science
Brian Duffy,"Master of Science in Systems Management (University of Southern California, 1981)",United States,72.0,Brian Duffy,pilot,bachelor,Science in Systems Management,social science
Brian Duffy,"Bachelor of Science in Mathematics (United States Air Force Academy, 1975)",United States,72.0,Brian Duffy,pilot,bachelor,Science in Mathematics,natural science
Brian Duffy,"Master of Science in Systems Management (University of Southern California, 1981)",United States,72.0,Brian Duffy,pilot,bachelor,Science in Systems Management,social science
Brian Duffy,"Bachelor of Science in Mathematics (United States Air Force Academy, 1975)",United States,72.0,Brian Duffy,commander,bachelor,Science in Mathematics,natural science
Brian Duffy,"Master of Science in Systems Management (University of Southern California, 1981)",United States,72.0,Brian Duffy,commander,bachelor,Science in Systems Management,social science
Brian Duffy,"Bachelor of Science in Mathematics (United States Air Force Academy, 1975)",United States,72.0,Brian Duffy,commander,bachelor,Science in Mathematics,natural science
Brian Duffy,"Master of Science in Systems Management (University of Southern California, 1981)",United States,72.0,Brian Duffy,commander,bachelor,Science in Systems Management,social science
Bruce Melnick,"Engineer (United States Coast Guard Academy, 1972)",United States,75.0,Bruce Melnick,msp,bachelor,,
Bruce Melnick,"Aeronautical Systems (University of West Florida, 1975)",United States,75.0,Bruce Melnick,msp,bachelor,,
Bruce Melnick,"Engineer (United States Coast Guard Academy, 1972)",United States,75.0,Bruce Melnick,msp,bachelor,,
Bruce Melnick,"Aeronautical Systems (University of West Florida, 1975)",United States,75.0,Bruce Melnick,msp,bachelor,,
Bryan O'Connor,"Bachelor of Science degree in engineering (United States Naval Academy, 1968)",United States,79.0,Bryan O'Connor,pilot,bachelor,Science,natural science
Bryan O'Connor,"Master of Science degree in aeronautical systems (University of West Florida, 1970)",United States,79.0,Bryan O'Connor,pilot,bachelor,Science,natural science
Bryan O'Connor,"Bachelor of Science degree in engineering (United States Naval Academy, 1968)",United States,79.0,Bryan O'Connor,commander,bachelor,Science,natural science
Bryan O'Connor,"Master of Science degree in aeronautical systems (University of West Florida, 1970)",United States,79.0,Bryan O'Connor,commander,bachelor,Science,natural science
Carl Walz,"Bachelor of Science in physics (Kent State University, 1977)",U.S.,70.0,Carl Walz,msp,bachelor,Science in physics,natural science
Carl Walz,"Master of Science in solid state physics (John Carroll University, 1979)",U.S.,70.0,Carl Walz,msp,bachelor,Science in solid state physics,natural science
Carl Walz,"Bachelor of Science in physics (Kent State University, 1977)",U.S.,70.0,Carl Walz,msp,bachelor,Science in physics,natural science
Carl Walz,"Master of Science in solid state physics (John Carroll University, 1979)",U.S.,70.0,Carl Walz,msp,bachelor,Science in solid state physics,natural science
Carl Walz,"Bachelor of Science in physics (Kent State University, 1977)",U.S.,70.0,Carl Walz,msp,bachelor,Science in physics,natural science
Carl Walz,"Master of Science in solid state physics (John Carroll University, 1979)",U.S.,70.0,Carl Walz,msp,bachelor,Science in solid state physics,natural science
Carl Walz,"Bachelor of Science in physics (Kent State University, 1977)",U.S.,70.0,Carl Walz,msp,bachelor,Science in physics,natural science
Carl Walz,"Master of Science in solid state physics (John Carroll University, 1979)",U.S.,70.0,Carl Walz,msp,bachelor,Science in solid state physics,natural science
Carl Meade,"Bachelor of Science in Electronics Engineering (University of Texas, 1973)",U.S.,74.0,Carl Meade,msp,bachelor,Science in Electronics Engineering,engineering
Carl Meade,"Master of Science in Electronics Engineering (California Institute of Technology, 1975)",U.S.,74.0,Carl Meade,msp,bachelor,Science in Electronics Engineering,engineering
Carl Meade,"Bachelor of Science in Electronics Engineering (University of Texas, 1973)",U.S.,74.0,Carl Meade,msp,bachelor,Science in Electronics Engineering,engineering
Carl Meade,"Master of Science in Electronics Engineering (California Institute of Technology, 1975)",U.S.,74.0,Carl Meade,msp,bachelor,Science in Electronics Engineering,engineering
Carl Meade,"Bachelor of Science in Electronics Engineering (University of Texas, 1973)",U.S.,74.0,Carl Meade,msp,bachelor,Science in Electronics Engineering,engineering
Carl Meade,"Master of Science in Electronics Engineering (California Institute of Technology, 1975)",U.S.,74.0,Carl Meade,msp,bachelor,Science in Electronics Engineering,engineering
Carlos Noriega,"Bachelor of Science degree in computer science (University of Southern California, 1981)",American Peruvian,65.0,Carlos Noriega,msp,bachelor,Science,natural science
Carlos Noriega,"Master of Science degree in computer science (Naval Postgraduate School, 1990)",American Peruvian,65.0,Carlos Noriega,msp,,Science,natural science
Carlos Noriega,"Master of Science degree in space systems operations (Naval Postgraduate School, 1990)",American Peruvian,65.0,Carlos Noriega,msp,,Science,natural science
Carlos Noriega,"Bachelor of Science degree in computer science (University of Southern California, 1981)",American Peruvian,65.0,Carlos Noriega,msp,bachelor,Science,natural science
Carlos Noriega,"Master of Science degree in computer science (Naval Postgraduate School, 1990)",American Peruvian,65.0,Carlos Noriega,msp,,Science,natural science
Carlos Noriega,"Master of Science degree in space systems operations (Naval Postgraduate School, 1990)",American Peruvian,65.0,Carlos Noriega,msp,,Science,natural science
Charles Camarda,"Bachelor's degree in aerospace engineering (Polytechnic Institute of Brooklyn, 1974)",American,73.0,Charles Camarda,msp,bachelor,Aerospace Engineering,engineering
Charles Camarda,"Master's degree in engineering science (George Washington University, 1980)",American,73.0,Charles Camarda,msp,master,,
Charles Camarda,"Doctorate in aerospace engineering (Virginia Polytechnic Institute and State University, 1990)",American,73.0,Charles Camarda,msp,doctor,Aerospace Engineering,engineering
Charles Gemar,"BS in Engineering (United States Military Academy, 1979)",United States,70.0,Charles Gemar,msp,bachelor,Engineering,engineering
Charles Gemar,"BS in Engineering (United States Military Academy, 1979)",United States,70.0,Charles Gemar,msp,bachelor,Engineering,engineering
Charles Gemar,"BS in Engineering (United States Military Academy, 1979)",United States,70.0,Charles Gemar,msp,bachelor,Engineering,engineering
Charles Hobaugh,"Bachelor of Science degree in Aerospace Engineering (United States Naval Academy, 1984)",U.S.,63.0,Charles Hobaugh,pilot,bachelor,Science,natural science
Charles Hobaugh,"Bachelor of Science degree in Aerospace Engineering (United States Naval Academy, 1984)",U.S.,63.0,Charles Hobaugh,pilot,bachelor,Science,natural science
Charles Hobaugh,"Bachelor of Science degree in Aerospace Engineering (United States Naval Academy, 1984)",U.S.,63.0,Charles Hobaugh,commander,bachelor,Science,natural science
Chiaki Mukai,"Doctorate in Medicine (Keio University School of Medicine, 1977)",Japan,73.0,Chiaki Mukai,psp,doctor,Medicine,natural science
Chiaki Mukai,"Doctorate in Physiology (Keio University School of Medicine, 1988)",Japan,73.0,Chiaki Mukai,psp,doctor,Medicine,natural science
Chiaki Mukai,"Doctorate in Medicine (Keio University School of Medicine, 1977)",Japan,73.0,Chiaki Mukai,psp,doctor,Medicine,natural science
Chiaki Mukai,"Doctorate in Physiology (Keio University School of Medicine, 1988)",Japan,73.0,Chiaki Mukai,psp,doctor,Medicine,natural science
Christer Fuglesang,"Master's degree in engineering physics (Royal Institute of Technology, 1981)",Sweden,68.0,Christer Fuglesang,msp,master,Physics,natural science
Christer Fuglesang,"Doctorate in experimental particle physics (Stockholm University, 1987)",Sweden,68.0,Christer Fuglesang,msp,doctor,Physics,natural science
Christer Fuglesang,"Master's degree in engineering physics (Royal Institute of Technology, 1981)",Sweden,68.0,Christer Fuglesang,msp,master,Physics,natural science
Christer Fuglesang,"Doctorate in experimental particle physics (Stockholm University, 1987)",Sweden,68.0,Christer Fuglesang,msp,doctor,Physics,natural science
Christina Koch,"Bachelor of Science in Electrical Engineering (North Carolina State University, 2001)",American,46.0,Christina Koch,flight engineer,bachelor,Science in Electrical Engineering,engineering
Christina Koch,"Bachelor of Science in Physics (North Carolina State University, 2001)",American,46.0,Christina Koch,flight engineer,bachelor,Science in Physics,natural science
Christina Koch,"Master of Science in Electrical Engineering (North Carolina State University, 2002)",American,46.0,Christina Koch,flight engineer,bachelor,Science in Electrical Engineering,engineering
Christopher Ferguson,"Bachelor of Science in mechanical engineering (Drexel University, 1984)",United States,64.0,Christopher Ferguson,pilot,bachelor,Science in mechanical engineering,engineering
Christopher Ferguson,"Master of Science in aeronautical engineering (Naval Postgraduate School, 1991)",United States,64.0,Christopher Ferguson,pilot,,Science in aeronautical engineering,engineering
Christopher Ferguson,"Bachelor of Science in mechanical engineering (Drexel University, 1984)",United States,64.0,Christopher Ferguson,commander,bachelor,Science in mechanical engineering,engineering
Christopher Ferguson,"Master of Science in aeronautical engineering (Naval Postgraduate School, 1991)",United States,64.0,Christopher Ferguson,commander,,Science in aeronautical engineering,engineering
Christopher Ferguson,"Bachelor of Science in mechanical engineering (Drexel University, 1984)",United States,64.0,Christopher Ferguson,commander,bachelor,Science in mechanical engineering,engineering
Christopher Ferguson,"Master of Science in aeronautical engineering (Naval Postgraduate School, 1991)",United States,64.0,Christopher Ferguson,commander,,Science in aeronautical engineering,engineering
Claude Nicollier,"Licentiate degree in Physics (University of Lausanne, 1970)",Swiss,81.0,Claude Nicollier,psp,bachelor,Physics,natural science
Claude Nicollier,"Post Diploma degree in Astrophysics (University of Geneva, 1975)",Swiss,81.0,Claude Nicollier,psp,bachelor,,
Claude Nicollier,"Licentiate degree in Physics (University of Lausanne, 1970)",Swiss,81.0,Claude Nicollier,psp,bachelor,Physics,natural science
Claude Nicollier,"Post Diploma degree in Astrophysics (University of Geneva, 1975)",Swiss,81.0,Claude Nicollier,psp,bachelor,,
Claude Nicollier,"Licentiate degree in Physics (University of Lausanne, 1970)",Swiss,81.0,Claude Nicollier,msp,bachelor,Physics,natural science
Claude Nicollier,"Post Diploma degree in Astrophysics (University of Geneva, 1975)",Swiss,81.0,Claude Nicollier,msp,bachelor,,
Claude Nicollier,"Licentiate degree in Physics (University of Lausanne, 1970)",Swiss,81.0,Claude Nicollier,msp,bachelor,Physics,natural science
Claude Nicollier,"Post Diploma degree in Astrophysics (University of Geneva, 1975)",Swiss,81.0,Claude Nicollier,msp,bachelor,,
Dafydd Rhys Williams,"Bachelor of Science in biology (McGill University, 1976)",Canada,71.0,Dafydd Rhys Williams,msp,bachelor,Science in biology,natural science
Dafydd Rhys Williams,"Master of Science in physiology (McGill University, 1983)",Canada,71.0,Dafydd Rhys Williams,msp,bachelor,Science in physiology,natural science
