name,degrees,education,occupations,time_in_space,interests,nationality,age
Aleksandr Kaleri,"['Specialist in Aircraft Flight Dynamics and Control (Moscow Institute of Physics and Technology, 1979)', 'Specialist in Mechanics of Fluids and Plasma (Moscow Institute of Physics and Technology, 1983)']","[{'institution': 'Moscow Institute of Physics and Technology', 'year': 1979, 'qualification': 'Specialist in Aircraft Flight Dynamics and Control'}, {'institution': 'Moscow Institute of Physics and Technology', 'year': 1983, 'qualification': 'Specialist in Mechanics of Fluids and Plasma'}]","['Flight engineer', 'Cosmonaut']",769 days 6 hours 37 minutes,"['running', 'reading', 'gardening']",Russia,69.0
Aleksandr Laveykin,[],[],"['Flight engineer', 'Cosmonaut']",174 days 3 hours 25 minutes,[],Soviet,74.0
Aleksandr Poleshchuk,"['Mechanical engineering diploma (Moscow Aviation Institute, 1977)']","[{'institution': 'Moscow Aviation Institute', 'year': 1977, 'qualification': 'Mechanical engineering diploma'}]","['Flight engineer', 'Captain, Russian Air Force', 'Test engineer', 'Test cosmonaut']",179d 00h 43m,[],Russian,71.0
Aleksandr Samokutyaev,[],"[{'institution': 'Penza Polytechnical Institute', 'year': None, 'qualification': None}, {'institution': 'Chernigov Higher Military Pilot School', 'year': 1992, 'qualification': None}, {'institution': 'Gagarin Air Force Academy', 'year': 2000, 'qualification': 'Pilot-Engineer'}]","['Pilot', 'Colonel', 'Politician', 'Former Cosmonaut']",331d 11h 25m,[],Russia,55.0
Aleksandr Serebrov,['Graduated from Moscow Institute of Physics and Technology (1967)'],"[{'institution': 'Moscow Institute of Physics and Technology', 'year': 1967, 'qualification': None}]","['Flight engineer', 'Cosmonaut']",372d 22h 52m,[],Soviet / Russian,69.0
Aleksandr Stepanovich Viktorenko,[],[],"['Test pilot', 'Colonel', 'Cosmonaut']",489d 01h 33m,[],"Soviet , Russian",76.0
Aleksei Gubarev,"['Graduated from the Soviet Naval Aviation School, 1952']","[{'institution': 'Soviet Naval Aviation School', 'year': 1952, 'qualification': None}, {'institution': 'Gagarin Air Force Academy', 'year': None, 'qualification': None}]","['Cosmonaut', 'Pilot', 'Major General, Soviet Naval Air Force']",37d 11h 36m,[],Soviet,83.0
Aleksei Yeliseyev,"['Graduate (Bauman Higher Technical School, 1957)', 'Postgraduate (Moscow Institute of Physics and Technology, 1962)']","[{'institution': 'Bauman Higher Technical School', 'year': 1957, 'qualification': 'Graduate'}, {'institution': 'Moscow Institute of Physics and Technology', 'year': 1962, 'qualification': 'Postgraduate'}]","['Engineer', 'Cosmonaut']",8d 22h 20m,[],Soviet,91.0
Aleksey Ovchinin,"['Pilot-Engineer (Yeisk Higher Military Pilot School, 1992)']","[{'institution': 'Borisoglebsk Higher Military Pilot School', 'year': None, 'qualification': 'Cadet'}, {'institution': 'Yeisk Higher Military Pilot School', 'year': 1992, 'qualification': 'Pilot-Engineer'}, {'institution': 'Russian Presidential Academy of National Economy and Public Administration', 'year': None, 'qualification': None}]","['Test cosmonaut', 'Podpolkovnik, Russian Air Force (reserve)']","595 days, 4 hours, 27 minutes","['hunting', 'fishing', 'music']",Russia,53.0
Alexander Gerst,"['Degree in geophysics (University of Karlsruhe, year not specified)', ""Master's degree in earth sciences (Victoria University of Wellington, year not specified)"", 'Doctorate in natural sciences (University of Hamburg, 2010)']","[{'institution': 'University of Karlsruhe (now Karlsruhe Institute of Technology)', 'year': None, 'qualification': 'Degree in geophysics with distinction'}, {'institution': 'Victoria University of Wellington', 'year': None, 'qualification': ""Master's degree in earth sciences""}, {'institution': 'University of Hamburg', 'year': 2010, 'qualification': 'Doctorate in natural sciences'}]","['Geophysicist', 'Astronaut']","362 days, 1 hour, 50 minutes","['mountaineering', 'diving', 'climbing', 'skydiving']",Germany,49.0
Alexander Misurkin,"['Pilot-Engineer (Armavir Military Aviation Institute, 1999)']","[{'institution': 'Vocational school #1 in Oryol', 'year': 1994, 'qualification': None}, {'institution': 'Kacha High Air Force Pilot School', 'year': None, 'qualification': None}, {'institution': 'Armavir Military Aviation Institute', 'year': 1999, 'qualification': 'Pilot-Engineer'}]","['Major, Russian Air Force', 'Cosmonaut']",346 days 07 hours 04 minutes,[],Russia,47.0
Alexander Volkov,[],[],['Mixed martial artist'],,[],Russian,36.0
Alexei Leonov,[],"[{'institution': 'Chuguev Higher Air Force Pilots School', 'year': 1957, 'qualification': 'Honours degree'}]","['Fighter pilot', 'Cosmonaut', 'Air Force major general', 'Writer', 'Artist']","7 days, 33 minutes, 3 seconds",['art'],Russia,
Alfred Worden,"['BS in Military Science (United States Military Academy, 1955)', 'MS in Aerospace Engineering (University of Michigan, 1963)', 'MS in Instrumentation Engineering (University of Michigan, 1963)']","[{'institution': 'United States Military Academy', 'year': 1955, 'qualification': 'BS in Military Science'}, {'institution': 'University of Michigan', 'year': 1963, 'qualification': 'MS in Aerospace Engineering'}, {'institution': 'University of Michigan', 'year': 1963, 'qualification': 'MS in Instrumentation Engineering'}]","['Test Pilot', 'Colonel, USAF', 'NASA Astronaut', 'Engineer']",12d 7h 12m,"['bowling', 'water skiing', 'golf', 'racquetball', 'playing the piano']",American,
Alvin Drew,"['BS in Physics and Astronautical Engineering (United States Air Force Academy, 1984)', 'MS in Aerospace Science (Embry-Riddle Aeronautical University)', 'MS in Political Science (Air War College of Air University)', 'Honorary Doctor of Science (Abertay University, 2011)']","[{'institution': 'United States Air Force Academy', 'year': 1984, 'qualification': 'BS in Physics and Astronautical Engineering'}, {'institution': 'Embry-Riddle Aeronautical University', 'year': None, 'qualification': 'MS in Aerospace Science'}, {'institution': 'Air War College of Air University', 'year': None, 'qualification': 'MS in Political Science'}, {'institution': 'Abertay University', 'year': 2011, 'qualification': 'Honorary Doctor of Science'}]","['United States Air Force Officer', 'Colonel, USAF', 'NASA Astronaut', 'Director of Space Sustainability, NASA']",25d 13h,[],United States,62.0
Anatoly Artsebarsky,[],[],"['Test Pilot', 'Colonel, Russian Air Force', 'Cosmonaut']",144d 15h 21m,[],Soviet Union,69.0
Anatoly Berezovoy,[],"[{'institution': 'Air Force Academy', 'year': None, 'qualification': None}]","['Pilot', 'Colonel, Soviet Air Force', 'Cosmonaut', 'Deputy President of Russian Space Federation']",211 days 09 hours 04 minutes,[],Soviet Russian,
Anatoly Filipchenko,[],[],"['Pilot', 'Major General , Soviet Air Force', 'Cosmonaut']",10d 21h 03m,[],Soviet,94.0
Anatoly Ivanishin,"['Economics, Statistics and Information Theory (Moscow State University, 2003)']","[{'institution': 'Chernigov Higher Military Aviation School', 'year': 1991, 'qualification': 'Gold medal'}, {'institution': 'Moscow State University', 'year': 2003, 'qualification': 'Economics, Statistics and Information Theory'}]","['Pilot', 'Cosmonaut', 'Colonel, Russian Air Force (reserve)']","476 days, 4 hours, 41 minutes",[],Russia,56.0
Anatoly Levchenko,[],[],"['Test Pilot', 'Cosmonaut']",7d 21h 58m,[],Soviet,
Anatoly Solovyev,[],"[{'institution': 'State University of Latvia', 'year': 1967, 'qualification': None}, {'institution': 'Chernigov Higher Military Aviation School', 'year': 1972, 'qualification': 'Graduated'}]","['Test pilot', 'Colonel, Russian Air Force', 'Cosmonaut']","651 days, 2 hours",[],Russian,77.0
Anderson Clayton,"['BA in Journalism and Political Science (Appalachian State University, 2019)']","[{'institution': 'Appalachian State University', 'year': 2019, 'qualification': 'BA in Journalism and Political Science'}]","['Political activist', 'Chair of the North Carolina Democratic Party', 'Broadband analyst']",,[],United States,27.0
Andreas Enevold Mogensen,"['MEng in Aeronautical Engineering (Imperial College London, 1999)', 'PhD in Aerospace Engineering (University of Texas at Austin, 2007)']","[{'institution': 'Rygaards International School', 'year': 1992, 'qualification': None}, {'institution': 'Copenhagen International School', 'year': 1995, 'qualification': 'International Baccalaureate'}, {'institution': 'Imperial College London', 'year': 1999, 'qualification': 'MEng in Aeronautical Engineering'}, {'institution': 'University of Texas at Austin', 'year': 2007, 'qualification': 'PhD in Aerospace Engineering'}, {'institution': 'Instituto Superior Técnico - University of Lisbon', 'year': None, 'qualification': None}]","['Aerospace engineer', 'ESA astronaut', 'Test engineer', 'Member of the European Astronaut Corps']","208 days, 22 hours, 34 minutes","['rugby', 'mountaineering', 'diving']",Denmark,48.0
Andrew J. Feustel,"['Associate of Science (Oakland Community College, 1985)', 'Bachelor of Science in Solid Earth Sciences (Purdue University, 1989)', 'Master of Science in Geophysics (Purdue University, 1991)', ""PhD in Geological Sciences (Queen's University, 1995)""]","[{'institution': 'Oakland Community College', 'year': 1985, 'qualification': 'Associate of Science'}, {'institution': 'Purdue University', 'year': 1989, 'qualification': 'Bachelor of Science in Solid Earth Sciences'}, {'institution': 'Purdue University', 'year': 1991, 'qualification': 'Master of Science in Geophysics'}, {'institution': ""Queen's University"", 'year': 1995, 'qualification': 'PhD in Geological Sciences'}]","['NASA Astronaut', 'Geophysicist', 'Deputy Chief of the NASA Astronaut Office', 'Acting Chief Astronaut', 'Advisor at Vast']","225 days, 9 hours, 16 minutes","['automobile restoration', 'skiing', 'guitar', 'member of the astronaut band Max Q']",United States,60.0
Andrew M. Allen,"['B.S. in Mechanical Engineering (Villanova University, 1977)', 'MBA (University of Florida, 2004)']","[{'institution': 'Villanova University', 'year': 1977, 'qualification': 'B.S. in Mechanical Engineering'}, {'institution': 'University of Florida', 'year': 2004, 'qualification': 'MBA'}]","['Marine Aviator', 'Lieutenant Colonel, USMC', 'Test Pilot', 'Astronaut', 'CEO of Aerodyne Industries']",37d 16h 12m,[],American,70.0
Andrey Borisenko,"['Flight and Control Dynamics (Leningrad Military Mechanical Institute, 1987)']","[{'institution': 'Leningrad Military Mechanical Institute', 'year': 1987, 'qualification': 'Flight and Control Dynamics'}]","['Cosmonaut', 'Test-cosmonaut', 'Flight Engineer', 'Commander of the International Space Station']",337 days 8 hours 57 minutes,[],Russia,61.0
Andriyan Nikolayev,[],[],"['Pilot', 'Major General, Soviet Air Force (1954–1982)', 'Cosmonaut']",21d 15h 20m,['skiing'],Soviet,
André Kuipers,"['Medical Degree (University of Amsterdam, 1987)']","[{'institution': 'University of Amsterdam', 'year': 1987, 'qualification': 'Medical Degree'}]","['Physician', 'ESA Astronaut']",203d 15h 50m,[],Dutch,66.0
Andy Thomas,"['BEng, University of Adelaide, 1973', 'PhD, University of Adelaide, 1978']","[{'institution': 'University of Adelaide', 'year': 1973, 'qualification': 'BEng with First Class Honours in Mechanical Engineering'}, {'institution': 'University of Adelaide', 'year': 1978, 'qualification': 'PhD in Mechanical Engineering'}]","['Aerospace Engineer', 'Former NASA Astronaut']",177d 9h 14m,[],Australian American,73.0
Anna L. Fisher,[],"[{'institution': 'Paris', 'year': None, 'qualification': None}]","['American Red Cross worker', 'Advisor to Faisal I of Iraq', 'Captain in the Syrian army', 'Ministry of Education in Iraq']",,[],American,61.0
Anne McClain,"[""Bachelor's degree in mechanical engineering (United States Military Academy, 2002)"", ""Master's degree in aerospace engineering (University of Bath, 2004)"", ""Master's degree in international relations (University of Bristol, 2005)""]","[{'institution': 'United States Military Academy', 'year': 2002, 'qualification': ""Bachelor's degree in mechanical engineering""}, {'institution': 'University of Bath', 'year': 2004, 'qualification': ""Master's degree in aerospace engineering""}, {'institution': 'University of Bristol', 'year': 2005, 'qualification': ""Master's degree in international relations""}]","['Colonel, US Army', 'Engineer', 'NASA Astronaut', 'Flight Engineer', 'Pilot']","351 days, 7 hours and 45 minutes",['rugby'],U.S.,46.0
Anthony W. England,"['Bachelor of Science (Massachusetts Institute of Technology, 1965)', 'Master of Science (Massachusetts Institute of Technology, 1965)', 'Doctor of Philosophy (Massachusetts Institute of Technology, 1970)']","[{'institution': 'Massachusetts Institute of Technology', 'year': 1965, 'qualification': 'Bachelor of Science'}, {'institution': 'Massachusetts Institute of Technology', 'year': 1965, 'qualification': 'Master of Science'}, {'institution': 'Massachusetts Institute of Technology', 'year': 1970, 'qualification': 'Doctor of Philosophy'}]","['NASA astronaut', 'Program Scientist for Space Station Freedom', 'Professor of Electrical Engineering and Computer Science', 'Dean of the College of Engineering and Computer Science']",7d 22h 45min,"['sailing', 'amateur radio']",American,83.0
Anton Shkaplerov,"['Pilot-Engineer (Kachinsk Air Force Pilot School, 1994)', 'Qualification - N. E. Zukovskiy Air Force Engineering School (1997)']","[{'institution': 'Kachinsk Air Force Pilot School', 'year': 1994, 'qualification': 'Pilot-Engineer'}, {'institution': 'N. E. Zukovskiy Air Force Engineering School', 'year': 1997, 'qualification': None}]","['Colonel, Russian Air Force', 'Cosmonaut', 'Senior Pilot-Instructor, Russian Air Force', 'Instructor of General Parachute Training']","709 days, 8 hours, 4 minutes","['sports', 'travel', 'fishing', 'golf']",Russia,53.0
Arnaldo Tamayo Méndez,[],"[{'institution': ""Technical Institute 'Rebel Army'"", 'year': 1960, 'qualification': 'Aviation technician'}, {'institution': 'Yeysk Higher Air Force School', 'year': 1962, 'qualification': 'Combat pilot training'}, {'institution': 'Maximo Gomez Basic College of the Revolutionary Forces', 'year': 1971, 'qualification': None}]","['Pilot', 'Military officer', 'Legislator', 'Cosmonaut']","7 days, 20 hours, 43 minutes",[],Cuba,83.0
Barbara Morgan,"['B.A. in Human Biology (Stanford University, 1973)', 'Teaching Credential (Notre Dame de Namur University, 1974)']","[{'institution': 'Stanford University', 'year': 1973, 'qualification': 'B.A. in Human Biology'}, {'institution': 'Notre Dame de Namur University', 'year': 1974, 'qualification': 'Teaching Credential'}]","['Teacher', 'NASA Astronaut', 'Mission Specialist', 'Distinguished Educator in Residence at Boise State University']",12d 17h 53m,"['jazz', 'literature', 'hiking', 'swimming', 'cross-country skiing']",American,73.0
Barry Wilmore,"['Bachelor of Science (Tennessee Technological University)', 'Master of Science (Tennessee Technological University)', 'Master of Science in Aviation Systems (University of Tennessee)']","[{'institution': 'Tennessee Technological University', 'year': None, 'qualification': 'Bachelor of Science'}, {'institution': 'Tennessee Technological University', 'year': None, 'qualification': 'Master of Science'}, {'institution': 'University of Tennessee', 'year': None, 'qualification': 'Master of Science in Aviation Systems'}]","['NASA astronaut', 'United States Navy test pilot', 'Captain, USN']","464 days, 8 hours, 2 minutes","['Christian', 'attending remote Sunday services']",American,62.0
Bernard A. Harris Jr.,"['B.S degree in biology (University of Houston, 1978)', 'MD degree (Texas Tech University Health Sciences Center School of Medicine, 1982)', ""Master's degree in biomedical science (The University of Texas Medical Branch, 1996)"", 'MBA (University of Houston, 1999)']","[{'institution': 'University of Houston', 'year': 1978, 'qualification': 'B.S degree in biology'}, {'institution': 'Texas Tech University Health Sciences Center School of Medicine', 'year': 1982, 'qualification': 'MD degree'}, {'institution': 'The University of Texas Medical Branch', 'year': 1996, 'qualification': ""Master's degree in biomedical science""}, {'institution': 'University of Houston', 'year': 1999, 'qualification': 'MBA'}]","['NASA astronaut', 'Clinical scientist and flight surgeon', 'Vice President of SPACEHAB, Inc.', 'Vice President of Business Development for Space Media, Inc.', 'CEO of the National Math and Science Initiative', 'President and CEO of Vesalius Ventures, Inc.']",18d 6h 8m,[],United States,69.0
Bill Nelson,"['Bachelor of Arts with a major in political science (Yale University, 1965)', 'Juris Doctor (University of Virginia, 1968)']","[{'institution': 'Yale University', 'year': 1965, 'qualification': 'Bachelor of Arts'}, {'institution': 'University of Virginia', 'year': 1968, 'qualification': 'Juris Doctor'}]","['American politician', 'Attorney', 'Astronaut']","6 days, 2 hours, 3 minutes",[],American,82.0
Bjarni Tryggvason,"['Engineering Physics (University of British Columbia, 1972)']","[{'institution': 'University of British Columbia', 'year': 1972, 'qualification': 'B.A.Sc. in Engineering Physics'}, {'institution': 'University of Western Ontario', 'year': None, 'qualification': None}]","['Engineer', 'NRC/CSA Astronaut', 'Meteorologist', 'Research Associate', 'Lecturer', 'Flight Instructor', 'Test Pilot']","11 days, 20 hours, 28 minutes",[],Icelandic Canadian,
Bob Behnken,"['Bachelor of Science in Mechanical Engineering (Washington University, 1992)', 'Bachelor of Science in Physics (Washington University, 1992)', 'MS in Mechanical Engineering (California Institute of Technology, 1993)', 'PhD in Mechanical Engineering (California Institute of Technology, 1997)']","[{'institution': 'Washington University in St. Louis', 'year': 1992, 'qualification': 'Bachelor of Science in Mechanical Engineering'}, {'institution': 'Washington University in St. Louis', 'year': 1992, 'qualification': 'Bachelor of Science in Physics'}, {'institution': 'California Institute of Technology', 'year': 1993, 'qualification': 'MS in Mechanical Engineering'}, {'institution': 'California Institute of Technology', 'year': 1997, 'qualification': 'PhD in Mechanical Engineering'}]","['Engineer', 'Former NASA Astronaut', 'Former Chief of the Astronaut Office', 'Colonel, USAF']",93d 11h 42m,[],United States,55.0
Bonnie J. Dunbar,"['Bachelor of Science in Ceramic Engineering (University of Washington, 1971)', 'Master of Science in Ceramic Engineering (University of Washington, 1975)', 'PhD in Mechanical/Biomedical Engineering (University of Houston, 1983)']","[{'institution': 'University of Washington', 'year': 1971, 'qualification': 'Bachelor of Science in Ceramic Engineering'}, {'institution': 'University of Washington', 'year': 1975, 'qualification': 'Master of Science in Ceramic Engineering'}, {'institution': 'University of Houston', 'year': 1983, 'qualification': 'PhD in Mechanical/Biomedical Engineering'}]","['Engineer', 'NASA Astronaut', 'Flight Controller/Payload Officer', 'Senior Research Engineer at Rockwell International', 'President and CEO of the Museum of Flight', 'John and Bea Slattery Professor of Aerospace Engineering at Texas A&M University', 'Director of the Institute for Engineering Education and Innovation']",50d 8h 24m,"['reading science fiction novels', 'following the Mercury Seven exploits']",United States,76.0
Boris Borisovich Yegorov,"['Medical degree (Moscow Medical Institute, 1961)', 'Doctorate in medicine']","[{'institution': 'Moscow Medical Institute', 'year': 1961, 'qualification': 'Medical degree'}, {'institution': 'First Moscow State Medical University', 'year': 1961, 'qualification': 'Medical degree'}]","['Doctor', 'Physician', 'Cosmonaut', 'Researcher at the Institute of Biomedical Problems', 'Professor at the Moscow Medical Institute']",1d 00h 17m,[],Soviet,
Boris Morukov,"['M.D. (2nd Moscow Medical Institute, 1973)', 'Ph.D. (Institute for Biomedical Problems, 1979)']","[{'institution': '2nd Moscow Medical Institute', 'year': 1973, 'qualification': 'M.D.'}, {'institution': 'Institute for Biomedical Problems', 'year': 1979, 'qualification': 'Ph.D.'}]","['Physician', 'Cosmonaut']","11 days, 19 hours, and 10 minutes",[],Russian,
Boris Volynov,[],"[{'institution': 'Zhukovsky Air Force Engineering Academy', 'year': 1968, 'qualification': 'Diploma of a pilot-engineer-cosmonaut'}, {'institution': 'Zhukovsky Air Force Engineering Academy', 'year': 1980, 'qualification': 'PhD'}]","['Electrical Engineer', 'Colonel, Soviet Air Force']",52d 07h 17m,[],Soviet,90.0
Brent W. Jett Jr.,"['Bachelor of Science in Aerospace Engineering (United States Naval Academy, 1981)', 'Master of Science in Aeronautical Engineering (U.S. Naval Postgraduate School, 1989)']","[{'institution': 'United States Naval Academy', 'year': 1981, 'qualification': 'Bachelor of Science in Aerospace Engineering'}, {'institution': 'U.S. Naval Postgraduate School', 'year': 1989, 'qualification': 'Master of Science in Aeronautical Engineering'}]","['American naval officer', 'Aviator', 'Test pilot', 'Aerospace engineer', 'Aeronautical engineer', 'NASA astronaut']",41 days 18 hours 1 minute,"['water skiing', 'snow skiing', 'board sailing', 'boating', 'running', 'basketball', 'squash']",American,66.0
Brewster H. Shaw,"['Bachelor of Science in Engineering Mechanics (University of Wisconsin–Madison, 1968)', 'Master of Science in Engineering Mechanics (University of Wisconsin–Madison, 1969)']","[{'institution': 'University of Wisconsin–Madison', 'year': 1968, 'qualification': 'Bachelor of Science in Engineering Mechanics'}, {'institution': 'University of Wisconsin–Madison', 'year': 1969, 'qualification': 'Master of Science in Engineering Mechanics'}]","['Colonel, USAF', 'NASA astronaut', 'Boeing executive', 'Chief Operating Officer of United Space Alliance']",22d 5h 51m,['music (member of a band called The Gentlemen)'],U.S.,80.0
Brian Duffy,"['Bachelor of Science in Mathematics (United States Air Force Academy, 1975)', 'Master of Science in Systems Management (University of Southern California, 1981)']","[{'institution': 'United States Air Force Academy', 'year': 1975, 'qualification': 'Bachelor of Science in Mathematics'}, {'institution': 'University of Southern California', 'year': 1981, 'qualification': 'Master of Science in Systems Management'}]","['Colonel, USAF', 'NASA Astronaut', 'Vice President of Mission Operations and Support Services, Lockheed Martin Corporation', 'Vice President and JSC Program Manager for Exploration Systems, Orbital ATK']","40 days, 17 hours, 34 minutes and 59 seconds",[],United States,72.0
Bruce E. Melnick,"['Engineer (United States Coast Guard Academy, 1972)', 'Aeronautical Systems (University of West Florida, 1975)']","[{'institution': 'United States Coast Guard Academy', 'year': 1972, 'qualification': 'BS in Engineering'}, {'institution': 'University of West Florida', 'year': 1975, 'qualification': 'MS in Aeronautical Systems'}, {'institution': 'University of West Florida', 'year': 2001, 'qualification': 'Honorary Doctorate of Science'}]","['Astronaut', 'United States Coast Guard officer', 'Vice President, Boeing Integrated Defense Systems', 'Director, Lockheed Space Operations Company']",12d 23h 27m,[],United States,75.0
Bruce McCandless,[],"[{'institution': 'United States Naval Academy', 'year': 1932, 'qualification': None}]","['Officer of United States Navy', 'Rear admiral']",,[],United States of America,
Bryan D. O'Connor,"['Bachelor of Science degree in engineering (United States Naval Academy, 1968)', 'Master of Science degree in aeronautical systems (University of West Florida, 1970)']","[{'institution': 'United States Naval Academy', 'year': 1968, 'qualification': 'Bachelor of Science degree in engineering'}, {'institution': 'University of West Florida', 'year': 1970, 'qualification': 'Master of Science degree in aeronautical systems'}, {'institution': 'Naval Safety School at the U.S. Naval Postgraduate School', 'year': 1972, 'qualification': None}, {'institution': 'U.S. Naval Test Pilot School', 'year': 1976, 'qualification': None}]","['Colonel, USMC', 'NASA astronaut', 'Aerospace consultant']",15d 23h 18m,[],United States,79.0
Buzz Aldrin,"['Bachelor of Science in Mechanical Engineering (United States Military Academy, 1951)', 'Sc.D. in Astronautics (Massachusetts Institute of Technology, 1963)']","[{'institution': 'United States Military Academy', 'year': 1951, 'qualification': 'Bachelor of Science in Mechanical Engineering'}, {'institution': 'Massachusetts Institute of Technology', 'year': 1963, 'qualification': 'Sc.D. in Astronautics'}]","['Astronaut', 'Engineer', 'Fighter Pilot']",12d 1h 53m,"['space exploration', 'advocacy for a human mission to Mars']",American,95.0
Byron K. Lichtenberg,"['Sc.B., aerospace engineering (Brown University, 1969)', 'S.M., mechanical engineering (MIT, 1975)', 'Sc.D., biomedical engineering (MIT, 1979)', 'Sc.D. (Westminster College, honorary)']","[{'institution': 'Brown University', 'year': 1969, 'qualification': 'Sc.B., aerospace engineering'}, {'institution': 'MIT', 'year': 1975, 'qualification': 'S.M., mechanical engineering'}, {'institution': 'MIT', 'year': 1979, 'qualification': 'Sc.D., biomedical engineering'}, {'institution': 'Westminster College', 'year': None, 'qualification': 'Sc.D., honorary'}]","['Engineer', 'Lieutenant colonel, USAF', 'Fighter pilot', 'Chief Technical Officer, Zero Gravity Corporation', 'Captain, Southwest Airlines', 'Professor, LeTourneau University']",19d 05h 56m,[],U.S.,77.0
C. Gordon Fullerton,"['Bachelor of Science in Mechanical Engineering (California Institute of Technology, 1957)', 'Master of Science in Mechanical Engineering (California Institute of Technology, 1958)']","[{'institution': 'California Institute of Technology', 'year': 1957, 'qualification': 'Bachelor of Science in Mechanical Engineering'}, {'institution': 'California Institute of Technology', 'year': 1958, 'qualification': 'Master of Science in Mechanical Engineering'}]","['United States Air Force Colonel', 'USAF Astronaut', 'NASA Astronaut', ""Research Pilot at NASA's Dryden Flight Research Facility""]",15d 22h 50m,[],United States,76.0
Carl E. Walz,"['Bachelor of Science in physics (Kent State University, 1977)', 'Master of Science in solid state physics (John Carroll University, 1979)']","[{'institution': 'Kent State University', 'year': 1977, 'qualification': 'Bachelor of Science in physics'}, {'institution': 'John Carroll University', 'year': 1979, 'qualification': 'Master of Science in solid state physics'}]","['Colonel, USAF', 'NASA astronaut', 'Vice president for Human Space Flight Operations, Orbital Sciences Corporation', 'Director Business Development, Oceaneering']",230d 13h 4m,"['piano and vocal music', 'sports']",U.S.,70.0
