Profile.Astronaut Numbers.Overall,Profile.Astronaut Numbers.Nationwide,Profile.Name,Profile.Gender,Profile.Birth Year,Profile.Nationality,Profile.Military,Profile.Selection.Group,Profile.Selection.Year,Profile.Lifetime Statistics.Mission count,Mission.Role,Mission.Year,Mission.Name,Mission.Vechicles.Ascent,Mission.Vechicles.Orbit,Mission.Vechicles.Decent,Mission.Durations.Mission duration,Profile.Lifetime Statistics.Mission duration,Mission.Durations.EVA duration,Profile.Lifetime Statistics.EVA duration,cleaned_name,international_country,international_gender,international_flights,international_total_flights,international_flight_time,wiki_degrees,wiki_education,wiki_occupations,wiki_time_in_space,wiki_interests,wiki_nationality,wiki_age
7,3,"Schirra, Walter M., Jr.",male,1923,U.S.,True,1960 NASA group 1,1959,3,commander,1965,Gemini 6A,Gemini 6A,Gemini 6A,Gemini 6A,25.87,295.2,0.0,0.0,Schirra Walter M. Jr.,,,,,,Bachelor Of Science Degree In 1945 After Only Three Years; Bachelor Of Science Degree From The United States Naval Ac; Bachelor Of Science; Doctorates Of Science; Doctorates Of Science From Three Colleges And Universities:,"He graduated with aBachelor of Sciencedegree in 1945 after only three years instead of four, as the Naval Academy had a wartime accelerated curriculum; Schirra Elementary School""; [43]
Schirra was a 33rd DegreeMasonand part of theAmerican Institute of Aeronautics and Astronautics, as well as afellowof theAmerican Astronautical Society; United States Naval Academy; He graduated with a
           
            Bachelor of Science
           
           degree in 1945 after only three years instead of four, as the Naval Academy had a wartime accelerated curriculum",Fighter Pilot; Naval Aviator; Commander; Test Pilot; Surgeon,None,,American,1923
7,3,"Schirra, Walter M., Jr.",male,1923,U.S.,True,1961 NASA group 1,1959,3,commander,1968,Apollo 7,Apollo 7,Apollo 7,Apollo 7,260.13,295.2,0.0,0.0,Schirra Walter M. Jr.,,,,,,Bachelor Of Science Degree In 1945 After Only Three Years; Bachelor Of Science Degree From The United States Naval Ac; Bachelor Of Science; Doctorates Of Science; Doctorates Of Science From Three Colleges And Universities:,"He graduated with aBachelor of Sciencedegree in 1945 after only three years instead of four, as the Naval Academy had a wartime accelerated curriculum; Schirra Elementary School""; [43]
Schirra was a 33rd DegreeMasonand part of theAmerican Institute of Aeronautics and Astronautics, as well as afellowof theAmerican Astronautical Society; United States Naval Academy; He graduated with a
           
            Bachelor of Science
           
           degree in 1945 after only three years instead of four, as the Naval Academy had a wartime accelerated curriculum",Fighter Pilot; Naval Aviator; Commander; Test Pilot; Surgeon,None,,American,1923
8,4,"Cooper, L. Gordon, Jr.",male,1927,U.S.,True,NASA- 1,1959,2,pilot,1963,Mercury-Atlas 9,Mercury-Atlas 9,Mercury-Atlas 9,Mercury-Atlas 9,34.32,225.0,0.0,0.0,Cooper L. Gordon Jr.,,,,,,Bachelor'S Quarters At Edwards; Master Mason (Member Of Carbondale Lodge # 82 In Carbond; Bachelor Of Science Degree In Aerospace Engineering There; Master Mason; Bachelor Of Science,"He graduated from college and law school, and became a
           
            state district judge; He completed hisBachelor of Sciencedegree inAerospace Engineeringthere on August 28, 1956; [5]He left forParris Islandas soon as he graduated from high school,[2]but World War II ended before he saw overseas service; fromOklahoma State Universityin 1967; Lincoln, Nebraska: University of Nebraska Press",Aerospace Engineer; Fighter Pilot; Commander; Lieutenant; Test Pilot,222 hours in space,ed racing speedboats; ed racing speedboats; ed racing speedboats,American,1927
8,4,"Cooper, L. Gordon, Jr.",male,1927,U.S.,True,NASA- 1,1959,2,commander,1965,Gemini 5,Gemini 5,Gemini 5,Gemini 5,191.92,225.0,0.0,0.0,Cooper L. Gordon Jr.,,,,,,Bachelor'S Quarters At Edwards; Master Mason (Member Of Carbondale Lodge # 82 In Carbond; Bachelor Of Science Degree In Aerospace Engineering There; Master Mason; Bachelor Of Science,"He graduated from college and law school, and became a
           
            state district judge; He completed hisBachelor of Sciencedegree inAerospace Engineeringthere on August 28, 1956; [5]He left forParris Islandas soon as he graduated from high school,[2]but World War II ended before he saw overseas service; fromOklahoma State Universityin 1967; Lincoln, Nebraska: University of Nebraska Press",Aerospace Engineer; Fighter Pilot; Commander; Lieutenant; Test Pilot,222 hours in space,ed racing speedboats; ed racing speedboats; ed racing speedboats,American,1927
9,5,"Bykovsky, Valery",male,1934,U.S.S.R/Russia,True,TsPK-1,1960,3,pilot,1963,Vostok 5,Vostok 5,Vostok 5,Vostok 5,119.13,497.8,0.0,0.0,Valery Bykovsky,Soviet Union,Man,"Vostok 5 (1963), Soyuz 22 (1976), Soyuz 31 (1978)",3,020:17:48,Master Of Sports Of The Soviet Union; Master Of Sports Of The Soviet Union[25],"- He graduated from the academy at 21 years old and received the rank of lieutenant; Tsiolkovsky Academy of Sciences
  - FAI De La Vaulx Medal (1963)

- Notes
  - ^ a b c d e f Burgess, Hall, Collin, Rex (2009); - Cosmonaut career

- Vostok programme
  - At 26 years old, he started his cosmonaut training at Zhukovsky Military Engineering academy; - Bykovsky graduated from aviation school aged 18 and enrolled in the Kachinsk Military Aviation Academy; [1]By the age of 14, Bykovsky wanted to attend naval school; however, his father was not a proponent of this idea and encouraged him to stay at his school",Fighter Pilot; Commander; Lieutenant; Colonel; Cosmonaut,None,"in space exploration, providing educational opportunities for young people, and supporting research; in space exploration, providing educational opportunities for young people, and supporting research; in space exploration, providing educational opportunities for young people, and supporting research",Soviet,1934
9,5,"Bykovsky, Valery",male,1934,U.S.S.R/Russia,True,TsPK-2,1960,3,commander,1976,Soyuz 22,Soyuz 22,Soyuz 22,Soyuz 22,189.0,497.8,0.0,0.0,Valery Bykovsky,Soviet Union,Man,"Vostok 5 (1963), Soyuz 22 (1976), Soyuz 31 (1978)",3,020:17:48,Master Of Sports Of The Soviet Union; Master Of Sports Of The Soviet Union[25],"- He graduated from the academy at 21 years old and received the rank of lieutenant; Tsiolkovsky Academy of Sciences
  - FAI De La Vaulx Medal (1963)

- Notes
  - ^ a b c d e f Burgess, Hall, Collin, Rex (2009); - Cosmonaut career

- Vostok programme
  - At 26 years old, he started his cosmonaut training at Zhukovsky Military Engineering academy; - Bykovsky graduated from aviation school aged 18 and enrolled in the Kachinsk Military Aviation Academy; [1]By the age of 14, Bykovsky wanted to attend naval school; however, his father was not a proponent of this idea and encouraged him to stay at his school",Fighter Pilot; Commander; Lieutenant; Colonel; Cosmonaut,None,"in space exploration, providing educational opportunities for young people, and supporting research; in space exploration, providing educational opportunities for young people, and supporting research; in space exploration, providing educational opportunities for young people, and supporting research",Soviet,1934
9,5,"Bykovsky, Valery",male,1934,U.S.S.R/Russia,True,TsPK-3,1960,3,commander,1978,Soyuz 31/29,Soyuz 31,Salyut 6,Soyuz 29,188.0,497.8,0.0,0.0,Valery Bykovsky,Soviet Union,Man,"Vostok 5 (1963), Soyuz 22 (1976), Soyuz 31 (1978)",3,020:17:48,Master Of Sports Of The Soviet Union; Master Of Sports Of The Soviet Union[25],"- He graduated from the academy at 21 years old and received the rank of lieutenant; Tsiolkovsky Academy of Sciences
  - FAI De La Vaulx Medal (1963)

- Notes
  - ^ a b c d e f Burgess, Hall, Collin, Rex (2009); - Cosmonaut career

- Vostok programme
  - At 26 years old, he started his cosmonaut training at Zhukovsky Military Engineering academy; - Bykovsky graduated from aviation school aged 18 and enrolled in the Kachinsk Military Aviation Academy; [1]By the age of 14, Bykovsky wanted to attend naval school; however, his father was not a proponent of this idea and encouraged him to stay at his school",Fighter Pilot; Commander; Lieutenant; Colonel; Cosmonaut,None,"in space exploration, providing educational opportunities for young people, and supporting research; in space exploration, providing educational opportunities for young people, and supporting research; in space exploration, providing educational opportunities for young people, and supporting research",Soviet,1934
10,6,"Tereshkova, Valentina",female,1937,U.S.S.R/Russia,True,VVS Women,1962,1,pilot,1963,Vostok 6,Vostok 6,Vostok 6,Vostok 6,70.83,70.83,0.0,0.0,Valentina Tereshkova,Soviet Union,Woman,Vostok 6 (1963),1,002:22:50,Doctorate In Aeronautical Engineering And Underwent The Med; Doctorate In; Doctorate From Theuniversity Of Edinburgh(1990)[106]; Doctorate From The University Of Edinburgh (1990); Master Of Sports Of The Soviet Union (June 1963),University of Pittsburgh Press; Oxford University Press; She also began studying at the Zhukovsky Air Force Engineering Academy and graduated a few years after her flight; The school she attended as a child was renamed for her; of Public Educational Institution of Higher Professional Training MGUL,Scientist; Lieutenant; Colonel; Surgeon; Cosmonaut,None,"ed from a young age in parachuting, and trained in
            
             skydiving; ing persons""; ed in socialist internationalism and women's roles in guaranteeing world peace""",Soviet,1937
11,7,"Komarov, Vladimir",male,1927,U.S.S.R/Russia,True,TsPK-1,1960,2,commander,1964,Voskhod 1,Voskhod 1,Voskhod 1,Voskhod 1,24.28,51.07,0.0,0.0,Vladimir Komarov,Soviet Union,Man,"Voskhod 1 (1964), Soyuz 1 (1967)",2,002:03:04,,"University of Nebraska Press; In 1945, Komarov graduated from flight school with honors; Of necessity because of the German invasion, the flight school was soon moved to the Tyumen region in Siberia for the duration of the war; [3]At the age of fifteen in 1942, Komarov entered the ""1st Moscow Special Air Force School"" to pursue his dream of becoming an aviator; Only two members of the first group, Pavel Belyayev ( Voskhod 2 ) and Komarov himself, were also graduates of the Soviet Air Force Academy",Professor; Aerospace Engineer; Commander; Lieutenant; Test Pilot,None,"ingly enough, we didn't lose any more after that until challenger; ingly enough, we didn't lose any more after that until challenger; ingly enough, we didn't lose any more after that until challenger",Soviet,1927
11,7,"Komarov, Vladimir",male,1927,U.S.S.R/Russia,True,TsPK-2,1960,2,commander,1967,Soyuz 1,Soyuz 1,Soyuz 1,Soyuz 1,26.78,51.07,0.0,0.0,Vladimir Komarov,Soviet Union,Man,"Voskhod 1 (1964), Soyuz 1 (1967)",2,002:03:04,,"University of Nebraska Press; In 1945, Komarov graduated from flight school with honors; Of necessity because of the German invasion, the flight school was soon moved to the Tyumen region in Siberia for the duration of the war; [3]At the age of fifteen in 1942, Komarov entered the ""1st Moscow Special Air Force School"" to pursue his dream of becoming an aviator; Only two members of the first group, Pavel Belyayev ( Voskhod 2 ) and Komarov himself, were also graduates of the Soviet Air Force Academy",Professor; Aerospace Engineer; Commander; Lieutenant; Test Pilot,None,"ingly enough, we didn't lose any more after that until challenger; ingly enough, we didn't lose any more after that until challenger; ingly enough, we didn't lose any more after that until challenger",Soviet,1927
12,8,"Feoktistov, Konstantin",male,1926,U.S.S.R/Russia,True,Voskhod-1 / TsKBEM-1,1964,1,MSP,1964,Voskhod 1,Voskhod 1,Voskhod 1,Voskhod 1,24.28,24.28,0.0,0.0,Konstantin Feoktistov,Soviet Union,Man,Voskhod 1 (1964),1,001:00:17,Doctorate Inphysics; Doctorate In; Doctorate In Physics,"- After the war was over, Feoktistov enrolled in the Bauman Moscow Higher Technical School as an engineering student and he graduated in 1949; of Public Educational Institution of Higher Professional Training MGULISBN978-5-8135-0510-2; Feoktistov resigned from his engineering position with
           
            Energia
           
           and then returned to Bauman Moscow Higher Technical School as a professor in 1990; of Public Educational Institution of Higher Professional Training MGUL
             

               ISBN
              


                978-5-8135-0510-2; Feoktistov also later earned a doctorate inphysics",Cosmonaut; General; Professor; Astronaut,None,ed and international friendships were made; ed and international friendships were made; ed and international friendships were made,Soviet,1926
13,9,"Yegorov, Boris",male,1937,U.S.S.R/Russia,True,Voskhod-1,1964,1,MSP,1964,Voskhod 1,Voskhod 1,Voskhod 1,Voskhod 1,24.28,24.28,0.0,0.0,Boris Yegorov,Soviet Union,Man,Voskhod 1 (1964),1,001:00:17,"Doctorate In Medicine, With His Specialization Being In Dis; Masters Of Sport Of The Ussr","He was born in Moscow , Soviet Union (now Russia) and received his medical degree from the Moscow Medical Institute in 1961; - After his successful spaceflight, Yegorov continued his work in space medicine and became a professor at the Moscow Medical Institute; Career
Following his graduation, Yegorov began working as a researcher at the Institute of Biomedical Problems and the Institute of Medical and Biological Problems; He also selected medicine as a career and graduated from theFirst Moscow State Medical Universityin 1961; He showed an early interest in medicine and pursued his passion by enrolling in the Moscow Medical Institute",Professor; Researcher; Surgeon; Cosmonaut; General,None,"ed in
           
            space medicine; in medicine and pursued his passion by enrolling in the moscow medical institute; ed in space medicine",Soviet,1937
14,10,"Belyayev, Pavel",male,1925,U.S.S.R/Russia,True,TsPK-1,1960,1,commander,1965,Voskhod 2,Voskhod 2,Voskhod 2,Voskhod 2,26.03,26.03,0.0,0.0,Pavel Belyayev,Soviet Union,Man,Voskhod 2 (1965),1,001:02:02,,"- Cosmonaut selection
  - During Belyayev's final studies at the Red banner Air Force Academy he had been interviewed and tested for possible inclusion in the space program; University of Nebraska Press; He applied to the special air force school in Sverdlovsk but failed to gain admission; [4]

Air Force career
Belyayev graduated as a military pilot in 1945 with the rank of junior lieutenant; He graduated in 1959 as military pilot second class and with the rank of major",Fighter Pilot; Commander; Lieutenant; Cosmonaut; General,None,ed playing hockey and hunting; ed playing hockey and hunting; ed playing hockey and hunting,Soviet,1925
15,11,"Leonov, Aleksei",male,1934,U.S.S.R/Russia,True,TsPK-1,1960,2,pilot,1965,Voskhod 2,Voskhod 2,Voskhod 2,Voskhod 2,26.03,168.53,0.73,0.73,Aleksei Leonov,Soviet Union,Man,"Voskhod 2 (1965), Soyuz 19 (1975)",2,007:00:32,Master Of Sport Of The Ussr; Master Of Sport Of The Ussr (1965); Master Of Sport Of The Ussr(1965)[9],"[8]Leonov graduated from secondary school (No; [
              
              8
              
               ]
              


            Leonov graduated from secondary school (No; of Public Educational Institution of Higher Professional Training MGUL
              

               ISBN
              


                978-5-8135-0510-2; Leonov decided to join a Ukrainian preparatory flying school in Kremenchug; University of Nebraska Press",Fighter Pilot; Commander; Scientist; Lieutenant; Physicist,None,,Soviet,1934
15,11,"Leonov, Aleksei",male,1934,U.S.S.R/Russia,True,TsPK-2,1960,2,commander,1975,Soyuz 19,Soyuz 19,Soyuz 19/Apollo,Soyuz 19,142.0,168.53,0.0,0.73,Aleksei Leonov,Soviet Union,Man,"Voskhod 2 (1965), Soyuz 19 (1975)",2,007:00:32,Master Of Sport Of The Ussr; Master Of Sport Of The Ussr (1965); Master Of Sport Of The Ussr(1965)[9],"[8]Leonov graduated from secondary school (No; [
              
              8
              
               ]
              


            Leonov graduated from secondary school (No; of Public Educational Institution of Higher Professional Training MGUL
              

               ISBN
              


                978-5-8135-0510-2; Leonov decided to join a Ukrainian preparatory flying school in Kremenchug; University of Nebraska Press",Fighter Pilot; Commander; Scientist; Lieutenant; Physicist,None,,Soviet,1934
16,5,"Grissom, Virgil I.",male,1926,U.S.,True,NASA Astronaut Group 2,1959,1,commander,1965,Gemini 3,Gemini 3,Gemini 3,Gemini 3,4.86,4.86,0.0,0.0,Virgil I. Grissom,United States,Man,"Mercury-Redstone 4 (1961), Gemini 3 (1965)",2,000:05:08,"Bachelor'S Degree; Doctorate Given Locally""; Bachelor Of Science; Bachelor Of Science Degree In Mechanical Engineering In Fe; Doctorate From","Grissom graduated from Purdue with a Bachelor of Science degree in mechanical engineering in February 1950; [128]Grissom Memorial Elementary School was dedicated in 1973 in Muncie, Indiana; Army Air Forces
           
           during his senior year in high school, and completed an entrance exam in November 1943; [5]He graduated from high school in 1944; Old Bridge Township Public Schools",Mechanical Engineer; Commander; Lieutenant; Researcher; Test Pilot,None,"in flying began during that time, building model airplanes; ed in aviation; ed in becoming a pilot, most of grissom's time before his discharge in 1945 was spent as a",Korean,1926
17,6,"Young, John W.",male,1930,U.S.,True,1962 NASA group 2,1962,6,pilot,1965,Gemini 3,Gemini 3,Gemini 3,Gemini 3,4.86,835.65,0.0,20.23,John W. Young,United States,Man,"Gemini 3 (1965), Gemini 10 (1966), Apollo 10 (1969), Apollo 16 (1972), STS-1 (1981), STS-9 (1983)",6,034:18:41,Bachelor Of Science; Bachelor Of Science Degree In Aeronautical Engineering Fro,"After serving at sea during the
          
           Korean War
          
          he became a naval aviator and graduated from the
          
           U; Tucson: The University of Arizona Press; ^
                    






                     ""John Young Elementary School Homepage""; John Young Elementary School; In May 1953, he received orders to flight school at
           
            Naval Air Station Pensacola",Professor; Naval Aviator; Commander; Lieutenant; Geologist,"835 hours in
                
                 space",,American,1930
17,6,"Young, John W.",male,1930,U.S.,True,1963 NASA group 2,1962,6,pilot,1966,Gemini 10,Gemini 10,Gemini 10,Gemini 10,70.77,835.65,0.0,20.23,John W. Young,United States,Man,"Gemini 3 (1965), Gemini 10 (1966), Apollo 10 (1969), Apollo 16 (1972), STS-1 (1981), STS-9 (1983)",6,034:18:41,Bachelor Of Science; Bachelor Of Science Degree In Aeronautical Engineering Fro,"After serving at sea during the
          
           Korean War
          
          he became a naval aviator and graduated from the
          
           U; Tucson: The University of Arizona Press; ^
                    






                     ""John Young Elementary School Homepage""; John Young Elementary School; In May 1953, he received orders to flight school at
           
            Naval Air Station Pensacola",Professor; Naval Aviator; Commander; Lieutenant; Geologist,"835 hours in
                
                 space",,American,1930
17,6,"Young, John W.",male,1930,U.S.,True,1964 NASA group 2,1962,6,pilot,1969,Apollo 10,Apollo 10,Apollo 10,Apollo 10,192.05,835.65,0.0,20.23,John W. Young,United States,Man,"Gemini 3 (1965), Gemini 10 (1966), Apollo 10 (1969), Apollo 16 (1972), STS-1 (1981), STS-9 (1983)",6,034:18:41,Bachelor Of Science; Bachelor Of Science Degree In Aeronautical Engineering Fro,"After serving at sea during the
          
           Korean War
          
          he became a naval aviator and graduated from the
          
           U; Tucson: The University of Arizona Press; ^
                    






                     ""John Young Elementary School Homepage""; John Young Elementary School; In May 1953, he received orders to flight school at
           
            Naval Air Station Pensacola",Professor; Naval Aviator; Commander; Lieutenant; Geologist,"835 hours in
                
                 space",,American,1930
